codine,T2002,T2003,T2004,T2005,T2006,T2007,T2008,T2009,T2010,T2011,T2012,T2013,T2014,T2015,T2016,T2017,T2018,T2019,T2020,T2021,P2013,P2014,P2015,P2016,P2017,P2018,P2019,P2020,P2021,VIA2013,VIA2014,VIA2015,VIA2016,VIA2017,VIA2018,VIA2019,VIA2020,VIA2021
03001,103,95,117,121,136,161,178,189,198,203,207,210,130,118,163,153,161,120,113,123,1.44927536231884,-37.1980676328502,-42.9951690821256,-21.256038647343,-26.0869565217391,-22.2222222222222,-42.0289855072464,-46.1904761904762,-5.38461538461539,1.44927536231884,-38.0952380952381,-9.23076923076923,38.135593220339,-6.13496932515338,5.22875816993464,-25.4658385093168,-5.83333333333333,8.84955752212389
03002,3,10,16,20,24,31,31,31,32,35,35,36,32,36,35,40,36,38,40,40,2.85714285714286,-8.57142857142857,2.85714285714286,0,14.2857142857143,2.85714285714286,8.57142857142857,11.1111111111111,25,2.85714285714286,-11.1111111111111,12.5,-2.77777777777777,14.2857142857143,-10,5.55555555555556,5.26315789473684,0
03003,0,0,0,2,3,16,20,19,19,19,21,8,13,12,16,14,11,13,14,14,-61.9047619047619,-38.0952380952381,-42.8571428571429,-23.8095238095238,-33.3333333333333,-47.6190476190476,-38.0952380952381,75,7.69230769230769,-61.9047619047619,62.5,-7.69230769230769,33.3333333333333,-12.5,-21.4285714285714,18.1818181818182,7.69230769230769,0
03004,12,22,54,71,97,112,132,133,131,129,128,120,77,63,53,47,47,60,58,75,-6.25,-39.84375,-50.78125,-58.59375,-63.28125,-63.28125,-53.125,-51.6666666666667,-2.59740259740259,-6.25,-35.8333333333333,-18.1818181818182,-15.8730158730159,-11.3207547169811,0,27.6595744680851,-3.33333333333333,29.3103448275862
03005,38,80,151,265,335,402,447,456,465,427,447,448,337,297,245,241,249,287,296,324,0.223713646532445,-24.6085011185682,-33.5570469798658,-45.1901565995526,-46.0850111856823,-44.2953020134228,-35.7941834451902,-33.9285714285714,-3.85756676557864,0.223713646532445,-24.7767857142857,-11.8694362017804,-17.5084175084175,-1.63265306122449,3.3195020746888,15.2610441767068,3.13588850174216,9.45945945945945
03006,309,373,427,532,573,588,652,675,684,612,597,564,523,509,484,474,500,485,502,529,-5.52763819095478,-12.3953098827471,-14.7403685092127,-18.92797319933,-20.6030150753769,-16.2479061976549,-18.7604690117253,-10.9929078014184,1.14722753346081,-5.52763819095478,-7.26950354609929,-2.67686424474188,-4.91159135559921,-2.06611570247934,5.48523206751055,-3,3.50515463917526,5.37848605577689
03007,0,2,6,14,20,24,31,32,36,32,32,33,29,22,25,24,23,19,17,17,3.125,-9.375,-31.25,-21.875,-25,-28.125,-40.625,-48.4848484848485,-41.3793103448276,3.125,-12.1212121212121,-24.1379310344828,13.6363636363636,-4,-4.16666666666667,-17.3913043478261,-10.5263157894737,0
03008,0,0,0,0,0,0,0,2,2,2,3,3,3,0,0,2,2,2,4,4,0,0,-100,-100,-33.3333333333333,-33.3333333333333,-33.3333333333333,33.3333333333333,33.3333333333333,0,0,-100,#¡DIV/0!,#¡DIV/0!,0,0,100,0
03009,13,20,21,25,28,28,36,48,54,57,60,30,33,37,40,44,42,50,51,56,-50,-45,-38.3333333333333,-33.3333333333333,-26.6666666666667,-30,-16.6666666666667,70,69.6969696969697,-50,10,12.1212121212121,8.10810810810811,10,-4.54545454545455,19.0476190476191,2,9.80392156862744
03010,1,0,2,2,4,4,4,6,8,8,8,6,5,5,5,5,7,7,6,6,-25,-37.5,-37.5,-37.5,-37.5,-12.5,-12.5,0,20,-25,-16.6666666666667,0,0,0,40,0,-14.2857142857143,0
03011,1842,1874,1660,2179,2575,2856,3088,3137,3239,3325,3354,3325,3081,3138,2961,1981,2412,2413,2235,2451,-0.864639236732259,-8.13953488372093,-6.44007155635063,-11.7173524150268,-40.9361955873584,-28.0858676207513,-28.0560524746571,-32.781954887218,-20.4479065238559,-0.864639236732259,-7.33834586466165,1.85004868549173,-5.64053537284894,-33.096926713948,21.7566885411408,0.0414593698175736,-7.37670949026109,9.66442953020135
03012,161,320,461,745,1318,1983,2361,2536,2681,2736,2826,2964,2030,1932,1512,1050,1059,1102,1174,1399,4.88322717622081,-28.1670205237084,-31.6348195329087,-46.4968152866242,-62.8450106157113,-62.5265392781316,-61.0049539985846,-60.391363022942,-31.0837438423645,4.88322717622081,-31.5114709851552,-4.82758620689656,-21.7391304347826,-30.5555555555556,0.857142857142861,4.0604343720491,6.53357531760436,19.1652470187394
03013,3,5,5,21,27,28,34,36,38,38,38,39,14,20,19,19,18,13,15,22,2.63157894736842,-63.1578947368421,-47.3684210526316,-50,-50,-52.6315789473684,-65.7894736842105,-61.5384615384615,57.1428571428571,2.63157894736842,-64.1025641025641,42.8571428571429,-5,0,-5.26315789473684,-27.7777777777778,15.3846153846154,46.6666666666667
03014,389,491,478,572,711,711,801,832,852,923,949,1001,803,590,663,646,672,741,790,957,5.47945205479452,-15.3846153846154,-37.8292939936775,-30.1369863013699,-31.9283456269758,-29.1886195995785,-21.9178082191781,-21.0789210789211,19.1780821917808,5.47945205479452,-19.7802197802198,-26.5255292652553,12.3728813559322,-2.56410256410257,4.02476780185758,10.2678571428571,6.61268556005398,21.1392405063291
