codine,ptotal,pext,porcext,hext,porhext,mext,pormext
03002,4758,369,7.7,174,47.2,195,52.8
03003,565,39,6.9,22,56.4,17,43.6
03004,963,245,25.4,121,49.4,124,50.6
03005,12279,2370,19.3,1299,54.8,1071,45.2
03006,1278,715,55.9,347,48.5,368,51.5
03007,230,38,16.5,20,52.6,18,47.4
03008,173,4,2.3,2,50.0,2,50.0
03009,58994,3705,6.3,1967,53.1,1738,46.9
03010,410,21,5.1,15,71.4,6,28.6
03011,20482,10567,51.6,5187,49.1,5380,50.9
03012,2935,1499,51.1,723,48.2,776,51.8
03013,1336,66,4.9,39,59.1,27,49.9
03014,334887,45941,13.7,23398,51.0,22543,40.9
03015,20803,4686,22.5,2388,51.0,2298,49.0
03016,113,12,10.6,4,33.3,8,66.7
03017,493,41,8.3,23,56.1,18,43.9
03018,22290,7297,32.7,3623,49.7,3674,50.3
03019,20714,1424,6.9,708,49.7,716,50.3
03001,632,250,39.6,124,49.6,126,50.4
03020,131,28,21.4,20,71.4,8,28.6
03021,7068,343,4.8,187,54.5,156,45.5
03022,151,9,5.9,3,33.3,6,66.7
03023,1685,83,4.9,50,60.2,33,39.8
03024,5402,664,12.3,340,51.2,324,48.8
03025,1942,286,14.7,138,48.3,148,51.7
03026,2092,466,22.3,233,50.0,233,50.0
03027,232,35,15.1,21,60.0,14,40.0
03028,1118,66,5.9,28,42.4,38,57.6
03030,1095,433,39.5,216,49.9,217,50.1
03031,68721,19595,28.5,10126,51.7,9469,48.3
03032,105,0,0,0,0,0,0
03033,140,19,13.6,10,52.6,9,47.4
03029,490,213,43.5,110,51.6,103,48.4
03034,3322,1595,48.0,789,49.5,806,50.5
03035,724,33,4.6,16,48.5,17,51.5
03036,97,2,2.0,1,50.0,1,50.0
03037,483,90,18.6,46,51.1,44,48.9
03038,409,35,8.5,16,45.7,19,54.3
03039,106,13,12.3,7,53.8,6,46.2
03040,418,110,26.3,46,41.8,64,58.2
03041,11005,3645,33.1,1813,49.7,1832,50.3
03042,4276,2552,59.7,1253,49.1,1299,50.9
03043,3671,131,3.5,64,48.9,67,51.1
03044,6733,1067,15.8,562,52.7,505,47.3
03045,420,181,43.0,97,53.6,84,46.4
03046,2978,963,32.3,491,51.0,472,49.0
03049,19038,3978,20.9,2180,54.8,1798,45.2
03048,7373,1330,18.0,751,56.5,579,43.5
03047,22725,10719,47.2,5388,50.3,5331,49.7
03051,415,17,4.1,7,41.2,10,58.8
03050,28349,4933,17.4,2330,47.2,2603,52.8
03052,1220,39,3.2,23,59.0,16,41.0
03053,10124,1115,11.0,580,52.0,535,41.0
03054,449,77,17.1,46,59.7,31,40.3
03075,217,56,25.8,29,51.8,27,48.2
03055,8639,1961,22.7,965,49.2,996,50.8
03056,11511,1377,11.9,785,57.0,592,43.0
03057,187,28,15.0,13,46.4,15,53.6
03058,7297,1167,16.0,588,50.4,579,49.6
03059,28952,3487,12.0,1812,52.0,1675,48.0
03061,1737,467,26.9,221,47.3,246,52.7
03062,690,438,63.5,226,53.6,212,48.4
03063,42166,9141,21.7,4320,47.3,4821,52.7
03064,7470,1286,17.2,624,48.5,662,51.5
03065,232517,24409,10.5,12787,52.4,11622,47.6
03066,52618,2679,5.1,1309,48.9,1370,51.1
03067,106,6,5.7,3,50.0,3,50.0
03068,47,5,10.6,1,20.0,4,80.0
03069,6715,2637,39.3,1304,49.4,1333,50.5
03070,4191,1598,38.1,799,50.0,799,50.0
