codine,Total Población,Nacidos en España,Nacidos en el Extranjero,Total Europa,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total África,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,Rep. Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Oceanía
03001,693,376,317,302,302,76,13,7,0,0,0,185,8,0,0,0,2,0,0,0,0,12,7,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0
03002,4810,4243,567,257,212,23,2,30,2,8,3,30,85,45,28,8,176,5,170,0,0,123,12,0,3,8,2,1,74,10,0,1,5,3,11,3,0,0
03003,619,560,59,56,56,2,31,0,0,0,0,18,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
03004,1064,717,347,274,260,32,1,30,2,0,0,125,5,14,4,1,15,8,5,0,1,53,13,0,0,4,1,2,24,1,1,0,1,0,4,2,0,1
03005,11745,9304,2441,1125,1062,95,101,80,3,2,5,445,222,63,13,6,597,4,582,0,0,703,32,61,21,19,4,3,531,2,5,1,9,2,16,10,0,0
03006,1507,589,918,846,836,54,3,20,2,0,0,661,2,10,1,0,21,10,11,0,0,39,9,9,0,1,1,1,7,1,5,0,0,2,12,5,0,0
03007,228,180,48,40,40,0,0,0,1,0,4,30,0,0,0,0,1,0,1,0,0,7,0,0,1,0,0,0,3,0,0,3,0,0,0,0,0,0
03008,206,196,10,9,9,1,3,2,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03009,61552,57457,4095,1919,1780,40,199,238,37,44,26,53,1063,139,38,21,587,107,420,3,10,1468,117,69,37,259,54,21,684,1,54,27,40,33,114,61,30,7
03010,413,384,29,26,26,0,0,5,1,0,0,6,12,0,0,0,1,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03011,21011,8962,12049,10473,7849,832,104,270,114,86,44,3032,738,2624,160,99,274,79,132,0,10,1028,276,29,81,148,60,32,133,13,22,23,39,73,266,105,21,8
03012,4346,1266,3080,3047,2958,180,5,25,5,5,6,2530,8,89,3,5,5,1,3,0,0,25,2,0,1,7,1,3,4,0,0,4,0,1,3,2,0,0
03013,1551,1404,147,81,77,5,0,6,1,17,0,33,8,4,2,0,49,13,36,0,0,14,1,0,0,0,3,0,4,0,0,0,0,2,3,0,3,0
03014,334757,273827,60930,18123,14362,1319,1224,3291,940,647,474,933,3478,3761,1274,1010,12175,3770,5453,646,851,28474,7110,1523,928,6302,884,550,4978,1259,831,626,1263,1220,2113,1011,198,45
03015,19147,15151,3996,1920,1542,66,42,139,16,17,38,916,112,378,108,181,1439,15,1413,3,0,589,61,25,24,225,14,21,131,4,2,9,38,24,48,30,1,0
03016,129,108,21,21,21,0,0,0,0,0,0,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03017,508,457,51,14,14,0,0,2,0,0,0,12,0,0,0,0,36,0,35,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
03018,23780,14421,9359,7049,5986,875,309,294,85,70,49,1371,1029,1063,345,67,454,115,269,1,16,1656,521,80,66,185,63,48,383,13,22,36,102,40,192,62,21,8
03019,20180,18166,2014,1087,948,37,14,127,20,20,14,406,171,139,31,82,199,61,131,0,1,686,110,20,13,104,4,17,340,14,2,5,7,12,42,27,4,0
03020,163,134,29,28,27,1,0,2,0,0,0,24,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03021,7240,6925,315,76,69,2,16,8,2,2,3,13,19,7,0,1,58,2,50,0,2,130,14,1,2,22,8,0,73,0,3,3,0,2,51,10,40,0
03022,190,175,15,8,8,2,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0
03023,1811,1659,152,100,100,3,72,4,2,0,2,15,1,0,0,0,3,1,2,0,0,49,1,6,0,1,2,1,37,0,0,0,1,0,0,0,0,0
03024,5467,4792,675,429,393,5,72,86,4,32,9,88,57,36,2,22,177,6,150,0,0,62,7,8,4,19,5,1,12,1,0,0,2,0,7,5,1,0
03025,1876,1400,476,416,396,130,1,44,4,14,0,137,1,20,2,9,12,0,12,0,0,47,13,2,0,11,2,0,12,0,2,0,2,2,1,0,0,0
03026,1997,1415,582,394,364,97,9,30,4,0,4,152,14,30,4,4,33,6,25,0,0,151,23,0,12,89,1,4,12,0,2,0,1,3,4,1,0,0
03027,238,160,78,70,70,0,0,2,0,0,0,17,45,0,0,0,3,3,0,0,0,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03028,1323,1208,115,73,71,1,21,9,0,0,1,14,8,2,2,0,22,1,3,0,6,20,2,0,1,0,1,0,6,0,3,0,0,0,0,0,0,0
03029,589,279,310,266,266,19,0,6,0,0,0,220,10,0,0,0,10,9,1,0,0,34,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
03030,1275,600,675,623,608,118,5,17,8,3,0,404,2,15,0,0,22,2,17,0,0,27,8,1,0,1,2,12,0,0,0,0,0,0,2,0,0,1
03031,71034,46346,24688,14710,13261,499,1066,614,388,241,200,5235,2828,1449,453,423,1850,591,1136,14,11,6098,1316,185,221,1178,401,272,1367,99,161,158,352,190,2014,820,779,16
03032,109,108,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03033,187,140,47,40,35,10,0,5,0,0,0,10,2,5,0,0,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
