codine,Total Población,Nacidos en España,Nacidos en el Extranjero,Total Europa,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total África,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,República Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Total Oceanía
03002,4758,4321,437,188,153,19,0,28,8,2,3,39,33,35,17,6,122,3,114,0,1,104,9,4,6,23,2,4,29,8,0,0,3,2,23,5,4,0
03003,565,526,39,37,37,2,18,0,1,0,0,13,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03004,963,683,280,201,188,18,0,27,1,2,1,56,1,13,5,0,17,10,4,1,0,57,12,0,3,5,6,2,13,1,2,1,3,1,5,2,1,0
03005,12279,9854,2425,720,673,31,39,84,5,4,9,276,143,47,14,8,1059,9,1035,3,1,625,16,38,11,45,5,6,462,7,7,1,7,4,21,10,5,0
03006,1278,548,730,661,654,38,1,29,3,1,1,474,2,7,0,0,19,13,2,0,0,37,8,5,1,7,2,0,7,0,0,0,0,2,13,5,0,0
03007,230,192,38,31,31,0,0,0,1,0,3,20,4,0,0,0,5,1,4,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
03008,173,167,6,4,4,0,0,2,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03009,58994,54490,4504,1266,1154,35,133,194,35,22,9,53,596,112,54,24,1344,95,1157,5,24,1620,111,48,88,243,80,22,631,5,74,51,23,99,268,115,112,6
03010,410,384,26,21,21,0,0,4,2,0,0,7,6,0,0,0,2,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
03011,20482,9557,10925,8785,6242,451,116,233,108,57,29,2294,652,2543,349,194,419,152,175,1,20,1258,246,25,50,241,112,38,108,21,23,52,53,154,457,153,34,6
03012,2935,1414,1521,1411,1344,30,7,33,5,3,3,1083,5,67,28,10,41,14,26,1,0,47,8,3,1,14,5,0,0,0,1,3,2,7,22,9,0,0
03013,1336,1252,84,35,32,4,0,7,1,1,0,13,3,3,2,0,36,10,26,0,0,13,0,1,0,1,1,0,4,2,0,0,0,1,0,0,0,0
03014,334887,267974,66913,17236,10560,951,719,2464,1151,446,279,802,1958,6676,2642,2040,16715,8680,5534,396,683,29117,5279,1044,1042,7687,1476,445,3892,977,832,849,971,3030,3769,1794,444,76
03015,20803,16160,4643,1646,1258,51,47,127,20,18,23,668,138,388,94,185,2321,72,2202,3,1,598,58,6,31,243,28,29,66,9,6,14,33,45,76,49,14,2
03016,113,100,13,11,11,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
03017,493,456,37,7,7,2,0,2,0,0,0,2,1,0,0,0,26,0,24,1,0,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
03018,22290,14379,7911,5214,3947,360,180,258,103,70,31,754,783,1267,740,161,575,134,354,3,24,1691,410,73,77,193,173,32,275,18,38,44,73,113,419,87,43,12
03019,20714,19006,1708,834,727,45,10,126,22,13,9,208,139,107,23,58,205,52,133,0,6,594,80,13,14,106,15,11,212,12,14,11,20,25,74,35,16,1
03001,632,372,260,236,229,49,1,31,0,0,0,115,5,7,0,1,10,0,3,0,0,12,1,0,0,4,0,0,0,1,0,1,0,0,1,0,1,1
03020,131,102,29,29,29,2,9,2,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03021,7068,6685,383,57,47,3,9,9,0,0,1,10,13,10,0,2,72,2,65,0,3,153,7,1,6,40,10,0,76,3,2,1,0,4,101,7,94,0
03022,151,140,11,5,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0
03023,1685,1583,102,68,63,2,41,6,0,0,1,4,7,5,0,1,9,1,1,1,4,24,2,5,0,0,2,0,15,0,0,0,0,0,1,0,1,0
03024,5402,4739,663,387,349,3,98,52,7,14,3,70,78,38,3,26,196,4,185,0,0,68,7,3,4,22,8,2,7,3,1,0,0,7,12,4,6,0
03025,1942,1601,341,270,250,54,3,45,7,20,0,66,14,20,5,10,16,0,16,0,0,52,13,0,2,12,3,0,10,2,2,1,3,4,3,0,0,0
03026,2092,1497,595,374,342,89,6,45,4,4,3,113,21,32,4,3,44,6,34,1,1,173,42,5,9,60,2,5,16,0,1,2,7,11,4,1,0,0
03027,232,196,36,32,32,4,0,1,0,1,1,12,9,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
03028,1118,1039,79,49,48,1,15,9,0,0,0,9,9,1,0,0,10,0,7,0,0,19,3,0,1,0,5,0,5,0,2,0,0,0,1,0,0,0
03030,1095,625,470,386,369,71,0,23,6,0,0,212,7,17,1,0,27,3,21,0,0,55,16,3,1,11,1,5,1,0,8,0,1,0,1,0,0,1
03031,68721,46356,22365,9924,8085,249,660,442,372,120,110,2622,2120,1839,864,540,2559,1024,1280,129,28,6106,955,109,215,1473,740,166,1079,99,175,239,241,406,3759,813,1876,17
03032,105,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03033,140,116,24,21,17,3,0,4,0,0,0,6,1,4,0,0,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
03029,490,248,242,198,193,9,0,1,2,0,0,160,4,5,2,0,7,6,0,0,0,35,2,0,0,1,0,1,0,0,0,0,4,0,2,0,0,0
03034,3322,1689,1633,1480,1369,64,3,61,5,6,0,843,4,111,29,10,37,5,29,0,0,55,7,3,1,8,1,0,16,3,0,4,0,2,59,19,0,2
03035,724,681,43,38,37,3,0,5,2,0,0,20,4,1,0,0,1,0,1,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
03036,97,94,3,3,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
