codine,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,P2013,P2014,P2015,P2016,P2017,P2018,P2019,P2020,P2021,VIA2013,VIA2014,VIA2015,VIA2016,VIA2017,VIA2018,VIA2019,VIA2020,VIA2021
03001,103,95,117,121,136,161,178,189,198,203,207,210,130,118,163,153,161,120,113,123,1.45,-37.2,-43,-21.26,-26.09,-22.22,-42.03,-46.19,-5.38,1.45,-38.1,-9.23,38.14,-6.13,5.23,-25.47,-5.83,8.85
03002,3,10,16,20,24,31,31,31,32,35,35,36,32,36,35,40,36,38,40,40,-2.86,-8.57,2.86,0,14.29,2.86,8.57,11.11,25,2.86,-11.11,12.5,-2.78,14.29,-10,5.56,5.26,0
03003,0,0,0,2,3,16,20,19,19,19,21,8,13,12,16,14,11,13,14,14,61.9,-38.1,-42.86,-23.81,-33.33,-47.62,-38.1,75,7.69,-61.9,62.5,-7.69,33.33,-12.5,-21.43,18.18,7.69,0
03004,12,22,54,71,97,112,132,133,131,129,128,120,77,63,53,47,47,60,58,75,6.25,-39.84,-50.78,-58.59,-63.28,-63.28,-53.13,-51.67,-2.6,-6.25,-35.83,-18.18,-15.87,-11.32,0,27.66,-3.33,29.31
03005,38,80,151,265,335,402,447,456,465,427,447,448,337,297,245,241,249,287,296,324,-0.22,-24.61,-33.56,-45.19,-46.09,-44.3,-35.79,-33.93,-3.86,0.22,-24.78,-11.87,-17.51,-1.63,3.32,15.26,3.14,9.46
03006,309,373,427,532,573,588,652,675,684,612,597,564,523,509,484,474,500,485,502,529,5.53,-12.4,-14.74,-18.93,-20.6,-16.25,-18.76,-10.99,1.15,-5.53,-7.27,-2.68,-4.91,-2.07,5.49,-3,3.51,5.38
03007,0,2,6,14,20,24,31,32,36,32,32,33,29,22,25,24,23,19,17,17,-3.13,-9.38,-31.25,-21.88,-25,-28.13,-40.63,-48.48,-41.38,3.13,-12.12,-24.14,13.64,-4,-4.17,-17.39,-10.53,0
03008,0,0,0,0,0,0,0,2,2,2,3,3,3,0,0,2,2,2,4,4,0,0,-100,-100,-33.33,-33.33,-33.33,33.33,33.33,0,0,-100,0,0,0,0,100,0
03009,13,20,21,25,28,28,36,48,54,57,60,30,33,37,40,44,42,50,51,56,50,-45,-38.33,-33.33,-26.67,-30,-16.67,70,69.7,-50,10,12.12,8.11,10,-4.55,19.05,2,9.8
03010,1,0,2,2,4,4,4,6,8,8,8,6,5,5,5,5,7,7,6,6,25,-37.5,-37.5,-37.5,-37.5,-12.5,-12.5,0,20,-25,-16.67,0,0,0,40,0,-14.29,0
03011,1842,1874,1660,2179,2575,2856,3088,3137,3239,3325,3354,3325,3081,3138,2961,1981,2412,2413,2235,2451,0.86,-8.14,-6.44,-11.72,-40.94,-28.09,-28.06,-32.78,-20.45,-0.86,-7.34,1.85,-5.64,-33.1,21.76,0.04,-7.38,9.66
03012,161,320,461,745,1318,1983,2361,2536,2681,2736,2826,2964,2030,1932,1512,1050,1059,1102,1174,1399,-4.88,-28.17,-31.63,-46.5,-62.85,-62.53,-61,-60.39,-31.08,4.88,-31.51,-4.83,-21.74,-30.56,0.86,4.06,6.53,19.17
03013,3,5,5,21,27,28,34,36,38,38,38,39,14,20,19,19,18,13,15,22,-2.63,-63.16,-47.37,-50,-50,-52.63,-65.79,-61.54,57.14,2.63,-64.1,42.86,-5,0,-5.26,-27.78,15.38,46.67
03014,389,491,478,572,711,711,801,832,852,923,949,1001,803,590,663,646,672,741,790,957,-5.48,-15.38,-37.83,-30.14,-31.93,-29.19,-21.92,-21.08,19.18,5.48,-19.78,-26.53,12.37,-2.56,4.02,10.27,6.61,21.14
03015,32,97,172,335,580,708,858,942,1015,717,768,805,790,756,685,663,637,689,708,688,-4.82,2.86,-1.56,-10.81,-13.67,-17.06,-10.29,-12.05,-12.91,4.82,-1.86,-4.3,-9.39,-3.21,-3.92,8.16,2.76,-2.82
03016,4,3,4,10,14,14,18,18,23,23,21,21,11,10,9,9,7,8,8,9,0,-47.62,-52.38,-57.14,-57.14,-66.67,-61.9,-61.9,-18.18,0,-47.62,-9.09,-10,0,-22.22,14.29,0,12.5
03017,3,3,9,12,13,10,12,13,13,14,12,11,8,6,5,3,3,3,3,3,8.33,-33.33,-50,-58.33,-75,-75,-75,-72.73,-62.5,-8.33,-27.27,-25,-16.67,-40,0,0,0,0
03018,575,707,723,970,1193,1287,1386,1408,1441,1417,1458,1463,941,897,706,721,733,784,821,862,-0.34,-35.46,-38.48,-51.58,-50.55,-49.73,-46.23,-43.88,-8.4,0.34,-35.68,-4.68,-21.29,2.12,1.66,6.96,4.72,4.99
03019,28,62,99,184,296,347,391,408,418,335,328,278,231,225,218,178,193,218,238,250,15.24,-29.57,-31.4,-33.54,-45.73,-41.16,-33.54,-14.39,8.23,-15.24,-16.91,-2.6,-3.11,-18.35,8.43,12.95,9.17,5.04
03020,17,17,16,19,22,24,23,25,25,24,24,22,17,15,15,17,16,14,14,13,8.33,-29.17,-37.5,-37.5,-29.17,-33.33,-41.67,-36.36,-23.53,-8.33,-22.73,-11.76,0,13.33,-5.88,-12.5,0,-7.14
03021,0,2,2,2,2,7,11,13,13,13,15,15,15,13,14,10,10,10,10,11,0,0,-13.33,-6.67,-33.33,-33.33,-33.33,-33.33,-26.67,0,0,-13.33,7.69,-28.57,0,0,0,10
03022,0,2,2,2,2,3,3,3,3,3,3,2,3,1,0,0,0,3,3,2,33.33,0,-66.67,-100,-100,-100,0,50,-33.33,-33.33,50,-66.67,-100,0,0,0,0,-33.33
03023,0,0,0,6,12,12,13,13,15,13,13,10,8,9,5,5,6,4,3,4,23.08,-38.46,-30.77,-61.54,-61.54,-53.85,-69.23,-70,-50,-23.08,-20,12.5,-44.44,0,20,-33.33,-25,33.33
03024,3,8,14,32,53,64,77,90,102,108,111,114,109,104,82,87,85,71,73,66,-2.7,-1.8,-6.31,-26.13,-21.62,-23.42,-36.04,-35.96,-39.45,2.7,-4.39,-4.59,-21.15,6.1,-2.3,-16.47,2.82,-9.59
03025,2,15,34,51,94,118,130,139,133,121,118,116,113,107,95,87,83,65,70,72,1.69,-4.24,-9.32,-19.49,-26.27,-29.66,-44.92,-39.66,-36.28,-1.69,-2.59,-5.31,-11.21,-8.42,-4.6,-21.69,7.69,2.86
