codine,Total varones,Total varones menores de 16 años,Total varones de 16 a 64 años,Total varones de 65 y más años,Total mujeres,Total mujeres menores de 16 años,Total mujeres de 16 a 64 años,Total mujeres de 65 y más años,Total extranjeros,Total extranjeros varones menores de 16 años,Total extranjeros varones  de 16 a 64 años,Total extranjeros varones de 65 y más años,Total extranjeros mujeres,Total extranjeros mujeres menores de 16 años,Total extranjeros mujeres de 16 a 64 años,Total extranjeros mujeres de 65 y más años,Total población
03001,340,38,219,83,328,28,210,90,132,12,85,35,130,9,98,23,668
03002,2403,387,1661,355,2363,398,1516,449,266,45,212,9,217,42,168,7,4766
03003,332,46,223,63,291,37,176,78,28,5,21,2,24,4,19,1,623
03004,490,73,333,84,461,75,304,82,148,22,102,24,142,22,93,27,951
03005,5728,1128,3894,706,5374,1058,3520,796,1147,140,913,94,810,139,606,65,11102
03006,714,85,403,226,681,59,431,191,408,34,229,145,407,18,282,107,1395
03007,101,13,66,22,115,21,69,25,17,3,10,4,18,2,13,3,216
03008,109,7,71,31,110,4,65,41,5,0,5,0,3,0,1,2,219
03009,29377,4667,20171,4539,31323,4667,19888,6768,1506,247,1234,25,1365,277,1074,14,60700
03010,214,33,140,41,216,39,131,46,15,1,14,0,7,1,6,0,430
03011,10035,1645,6366,2024,9878,1513,6449,1916,5458,705,3172,1581,5536,620,3447,1469,19913
03012,1835,227,1222,386,1810,224,1282,304,1213,113,814,286,1176,115,874,187,3645
03013,741,114,457,170,774,118,477,179,61,13,44,4,48,10,35,3,1515
03014,156874,25692,110123,21059,165799,24162,110960,30677,20563,2819,16996,748,18873,2667,15264,942,322673
03015,9221,1705,6435,1081,8724,1645,5741,1338,1794,296,1387,111,1373,262,1035,76,17945
03016,69,8,39,22,58,4,40,14,7,0,5,2,9,1,7,1,127
03017,215,29,143,43,240,48,138,54,24,3,18,3,14,3,11,0,455
03018,11334,1768,7709,1857,11314,1677,7572,2065,4017,390,2772,855,3825,428,2659,738,22648
03019,9735,1766,6699,1270,9511,1649,6279,1583,754,111,596,47,652,120,501,31,19246
03020,80,10,51,19,83,6,51,26,14,3,10,1,11,2,9,0,163
03021,3609,606,2485,518,3584,600,2275,709,160,23,136,1,97,11,86,0,7193
03022,101,6,63,32,109,5,67,37,4,1,3,0,5,0,4,1,210
03023,922,128,611,183,906,122,556,228,77,15,60,2,57,8,47,2,1828
03024,2741,486,1844,411,2678,451,1714,513,288,44,228,16,227,44,172,11,5419
03025,828,129,563,136,773,119,527,127,182,16,107,59,167,14,121,32,1601
03026,861,150,563,148,868,134,552,182,203,31,129,43,187,28,123,36,1729
03027,116,7,79,30,104,10,66,28,33,3,27,3,26,5,21,0,220
03028,677,87,420,170,658,75,372,211,46,3,42,1,37,3,32,2,1335
03029,292,25,180,87,278,17,169,92,132,8,82,42,117,5,85,27,570
03030,555,60,339,156,584,74,352,158,274,19,151,104,283,27,174,82,1139
03031,34937,5052,24920,4965,34121,4573,23936,5612,10719,1252,8096,1371,9529,1144,7212,1173,69058
03032,55,2,39,14,70,3,36,31,0,0,0,0,0,0,0,0,125
03033,98,12,60,26,90,10,59,21,18,2,15,1,14,1,12,1,188
03034,1843,257,1205,381,1864,247,1260,357,1085,120,691,274,1055,103,737,215,3707
03035,422,38,284,100,421,50,244,127,13,0,10,3,13,1,12,0,843
03036,48,2,38,8,53,7,37,9,2,0,2,0,2,1,1,0,101
03037,223,17,157,49,243,18,158,67,49,3,36,10,45,0,37,8,466
03038,216,20,141,55,225,18,130,77,15,1,13,1,18,1,15,2,441
03039,76,7,51,18,55,4,37,14,8,2,4,2,7,0,6,1,131
03040,213,23,138,52,216,24,116,76,60,9,31,20,71,11,34,26,429
03041,6416,811,4064,1541,6274,815,3927,1532,2901,248,1702,951,2740,254,1698,788,12690
03042,2440,272,1532,636,2333,274,1494,565,1675,162,1029,484,1550,148,1041,361,4773
03043,1817,285,1221,311,1876,292,1213,371,90,17,65,8,81,18,57,6,3693
03044,3384,611,2388,385,3204,637,2094,473,664,102,515,47,490,100,360,30,6588
03045,202,13,130,59,197,22,122,53,78,6,52,20,76,11,52,13,399
03046,1440,214,966,260,1407,230,955,222,599,62,369,168,582,61,408,113,2847
03047,14294,1767,8683,3844,13474,1592,8080,3802,8827,683,4912,3232,8206,631,4496,3079,27768
03048,4172,633,2969,570,3836,632,2485,719,1296,174,1075,47,938,193,699,46,8008
03049,8869,1622,6075,1172,8554,1515,5545,1494,1304,249,1037,18,946,225,702,19,17423
03050,12418,2134,8448,1836,12637,2073,8553,2011,2385,278,1530,577,2410,263,1634,513,25055
03051,206,34,132,40,208,29,125,54,7,3,4,0,7,1,6,0,414
03052,584,89,379,116,619,100,387,132,22,2,20,0,15,2,13,0,1203
03053,4855,806,3391,658,4818,758,3252,808,729,75,544,110,676,87,507,82,9673
03054,257,19,157,81,260,14,138,108,41,5,29,7,39,3,33,3,517
