codine,Total varones,Total varones menores de 16 años,Total varones de 16 a 64 años,Total varones de 65 y más años,Total mujeres,Total mujeres menores de 16 años,Total mujeres de 16 a 64 años,Total mujeres de 65 y más años,Total extranjeros varones,Total extranjeros varones menores de 16 años,Total extranjeros varones  de 16 a 64 años,Total extranjeros varones de 65 y más años,Total extranjeros mujeres,Total extranjeros mujeres menores de 16 años,Total extranjeros mujeres de 16 a 64 años,Total extranjeros mujeres de 65 y más años,Total población
03001,324,28,183,113,308,25,176,107,122,6,60,56,126,6,71,49,632
03002,2378,369,1592,417,2329,362,1484,483,191,27,149,15,181,32,133,16,4707
03003,307,35,210,62,267,32,162,73,23,2,17,4,23,1,18,4,574
03004,501,70,326,105,436,60,277,99,120,10,73,37,120,10,75,35,937
03005,5993,1097,4103,793,5787,1103,3768,916,1159,198,853,108,942,187,662,93,11780
03006,661,51,328,282,650,66,302,282,357,13,134,210,354,13,148,193,1311
03007,111,12,71,28,105,8,65,32,15,0,7,8,15,2,6,7,216
03008,96,10,55,31,88,4,53,31,5,0,5,0,3,0,3,0,184
03009,29007,4752,19333,4922,30560,4506,19019,7035,1567,264,1274,29,1397,236,1132,29,59567
03010,198,23,133,42,208,30,121,57,14,0,12,2,6,1,4,1,406
03011,10781,1468,6570,2743,10919,1459,6692,2768,5866,540,3225,2101,6124,555,3511,2058,21700
03012,1852,182,1020,650,1841,203,1042,596,1171,44,578,549,1168,67,624,477,3693
03013,706,109,439,158,707,89,427,191,48,8,33,7,39,10,23,6,1413
03014,159401,27501,107396,24504,169247,25597,109311,34339,20717,3214,16542,961,19145,2995,15048,1102,328648
03015,10098,1974,6784,1340,9857,1964,6244,1649,2256,510,1498,248,2061,494,1343,224,19955
03016,61,5,35,21,53,4,25,24,5,0,0,5,7,0,3,4,114
03017,244,39,171,34,278,56,173,49,25,4,20,1,24,4,18,2,522
03018,11008,1703,7199,2106,11377,1629,7411,2337,3822,461,2455,906,3819,449,2553,817,22385
03019,10299,1895,6923,1481,10107,1782,6542,1783,708,112,503,93,687,100,501,86,20406
03020,69,4,44,21,64,6,34,24,10,0,6,4,9,1,6,2,133
03021,3569,579,2375,615,3586,585,2202,799,175,36,136,3,133,42,84,7,7155
03022,76,6,38,32,79,5,42,32,4,2,2,0,6,0,5,1,155
03023,864,120,548,196,882,108,525,249,54,14,36,4,47,6,39,2,1746
03024,2697,461,1770,466,2701,448,1680,573,337,60,242,35,332,70,225,37,5398
03025,992,172,645,175,907,153,573,181,156,9,80,67,160,14,87,59,1899
03026,958,178,596,184,968,152,593,223,190,19,102,69,211,22,121,68,1926
03027,116,12,70,34,111,10,73,28,29,3,22,4,17,0,14,3,227
03028,608,65,380,163,600,65,323,212,32,10,19,3,39,8,27,4,1208
03030,585,78,316,191,611,88,309,214,260,23,106,131,284,34,122,128,1196
03031,34395,4939,23404,6052,34650,4582,23169,6899,10634,1504,7668,1462,9743,1397,6976,1370,69045
