codine,Hombres menores de 16 años,Hombres de 16 a 64 años,Hombres de 65 y más años,Mujeres menores de 16 años,Mujeres de 16 a 64 años,Mujeres de 65 y más años
03002,30,144,16,29,137,22
03003,3,17,4,1,15,5
03004,10,60,38,7,73,31
03005,217,822,101,207,622,87
03006,14,113,212,15,144,190
03007,0,12,8,2,7,8
03008,0,5,1,0,4,1
03009,246,1221,27,218,1151,33
03010,0,11,2,1,3,1
03011,536,3204,2057,542,3418,2034
03012,36,400,484,48,470,400
03013,5,28,7,11,20,7
03014,3291,17174,1122,3080,15551,1285
03015,500,1478,253,491,1359,219
03016,0,0,4,0,3,4
03017,6,17,1,3,17,2
03018,451,2186,778,427,2334,708
03019,102,490,97,95,508,80
03001,5,60,88,5,80,71
03020,0,8,4,1,6,2
03021,32,130,4,38,89,7
03022,1,1,0,0,4,1
03023,12,32,4,7,35,2
03024,66,233,35,66,217,35
03025,10,74,67,12,81,57
03026,15,100,71,19,122,68
03027,2,15,4,0,12,1
03028,4,21,2,6,19,2
03030,10,102,124,22,110,123
03031,1382,6708,1125,1267,6219,1095
03032,0,0,0,0,1,0
03033,0,7,4,0,4,4
03029,4,30,41,7,33,37
03034,51,338,323,39,377,291
03035,0,11,8,1,17,4
03036,0,0,0,0,2,0
03037,2,28,14,2,24,12
03038,0,6,7,0,8,10
03039,1,4,3,0,6,1
03040,1,11,24,2,20,29
03041,154,1037,672,149,1085,636
03042,115,553,564,110,602,515
03043,10,40,7,9,37,5
03044,96,395,96,85,352,71
03045,6,51,33,6,53,21
03046,32,224,235,28,231,214
03049,553,1287,39,511,1060,35
03048,90,573,41,98,444,32
03047,505,2601,996,465,2638,945
03050,279,1290,541,264,1543,570
03051,4,7,1,1,14,0
03052,7,18,1,2,16,2
03053,51,338,175,66,334,165
03054,6,19,15,3,16,11
03075,0,25,3,2,18,6
03055,152,583,259,140,600,250
03056,135,468,39,124,347,39
03057,3,8,3,0,8,7
03058,138,425,15,143,373,13
03059,409,1115,152,424,958,124
03061,28,98,107,33,112,94
03062,11,111,103,10,104,89
03063,545,2937,867,484,3183,902
03064,137,330,86,149,337,66
03065,2135,8813,380,1949,7924,437
03066,153,962,34,144,922,46
03067,0,2,0,0,1,0
03068,0,2,0,0,5,4
03069,147,764,233,164,781,207
03077,23,200,226,12,236,183
03070,100,450,194,93,433,173
03072,0,15,10,1,12,7
03071,71,327,122,90,322,106
03073,1,4,2,0,2,1
03074,47,152,1,47,135,3
03076,291,1375,783,289,1519,769
03078,9,118,167,9,143,146
03079,99,536,19,85,465,21
03080,23,98,44,24,97,61
03082,624,3125,2039,591,3288,2013
03083,38,147,32,30,148,23
03085,18,175,191,19,214,176
03084,1,6,7,1,14,6
03086,0,20,9,1,21,4
03088,45,386,29,40,226,23
03089,49,307,54,47,303,38
03903,97,491,332,100,512,284
03091,4,46,48,5,50,50
03092,106,353,39,115,306,38
03090,184,861,261,169,931,248
03093,173,902,25,159,701,30
03094,394,2310,1365,373,2392,1407
03095,90,367,36,85,382,40
03096,22,204,20,18,192,19
03097,27,167,238,15,192,232
03099,1472,7883,4846,1473,7867,4436
03098,7,60,36,4,62,28
03100,10,91,109,9,100,95
03101,89,434,294,91,470,244
03102,77,402,321,62,406,273
03103,0,14,1,0,6,1
03104,46,341,17,44,376,21
03902,560,2565,1333,511,2116,1210
03105,80,311,115,68,353,102
03106,3,20,13,1,24,12
03901,38,343,531,40,396,547
03107,102,460,157,85,447,118
03060,0,1,0,0,1,1
03109,88,190,11,99,203,10
03110,6,49,80,3,52,81
03111,135,411,7,105,284,9
03112,13,165,85,38,175,69
03113,528,2639,3115,443,2876,2826
03114,13,134,105,16,150,98
03115,3,26,44,3,27,38
03116,11,61,27,5,51,25
03118,203,897,1174,170,1023,1029
03904,9,71,19,16,87,16
03120,160,726,710,167,861,629
03122,214,1264,83,221,1348,110
03117,3,41,64,5,60,46
03119,165,764,100,166,908,122
03121,279,1567,723,290,1607,623
03123,29,180,61,19,195,52
03124,4,17,16,1,16,14
03125,9,44,25,7,44,29
03127,10,77,35,5,64,35
03128,249,1364,1155,218,1504,1067
03129,5,46,59,2,62,49
03130,0,2,2,0,1,2
03131,2,19,39,7,26,29
03132,6,42,22,2,48,17
03133,2239,12115,2994,2049,11212,3056
03134,0,0,6,0,1,3
03136,9,41,11,2,32,12
03137,5,19,11,8,32,12
03135,0,6,4,0,7,1
03138,38,257,82,47,262,73
03139,482,2373,376,430,2322,358
03140,209,828,48,196,714,58
03081,34,256,162,39,277,151
