id,codine,nombre_codine,p2002,e2002,p2003,e2003,p2004,e2004,p2005,e2005,p2006,e2006,p2007,e2007,p2008,e2008,p2009,e2009,p2010,e2010,p2011,e2011,p2012,e2012,p2013,e2013,p2014,e2014,p2015,e2015,p2016,e2016,p2017,e2017,p2018,p2018,p2019,e2019
1,03001,"03001 Atzúbia, l'",605,179,587,167,635,214,611,213,627,229,668,262,686,286,693,313,695,318,730,337,749,348,744,359,627,238,632,248,689,309,664,278,661,279,632,250
2,03002,03002 Agost,4284,231,4451,331,4517,370,4601,426,4723,482,4766,483,4813,527,4810,544,4818,521,4831,517,4791,489,4787,477,4752,408,4707,372,4729,378,4703,356,4713,359,4758,369
3,03003,03003 Agres,623,4,622,28,671,68,653,59,614,34,623,52,627,63,619,61,599,64,610,68,598,72,565,38,583,51,574,46,565,45,549,42,551,35,565,39
4,03004,03004 Aigües,624,97,637,120,737,179,801,215,827,243,951,290,1047,334,1064,335,1084,352,1118,350,1105,347,1073,333,984,267,937,240,921,219,913,204,936,221,963,245
5,03005,03005 Albatera,9363,567,9636,815,10001,1090,10449,1468,10878,1769,11102,1957,11656,2373,11745,2402,11821,2382,11901,2391,11936,2409,11983,2429,11767,2188,11780,2101,11756,2056,11850,2080,12042,2213,12279,2370
6,03006,03006 Alcalalí,1081,465,1150,541,1216,602,1352,736,1418,811,1395,815,1500,912,1507,917,1524,931,1433,854,1433,849,1401,805,1350,741,1311,711,1291,688,1276,683,1298,725,1278,715
7,03007,03007 Alcocer de Planes,154,7,164,9,177,13,179,19,194,25,216,35,234,43,228,47,230,48,231,45,233,47,241,47,238,42,216,30,221,37,230,36,229,39,230,38
8,03008,03008 Alcoleja,245,6,244,7,241,10,228,8,213,3,219,8,211,8,206,8,201,11,193,15,204,19,199,14,191,12,184,8,194,11,185,7,180,4,173,4
9,03009,03009 Alcoy/Alcoi,60465,1234,60036,1905,60532,2421,60931,2778,60590,2536,60700,2871,61698,3575,61552,3690,61417,3697,61093,3572,60837,3470,60105,2935,59675,2972,59567,2964,59198,2896,59106,3050,58977,3331,58994,3705
10,03010,03010 Alfafara,406,6,411,12,426,15,430,13,422,12,430,22,422,23,413,24,419,18,424,21,419,22,415,19,418,19,406,20,399,18,405,15,407,19,410,21
11,03011,"03011 Alfàs del Pi, l'",15848,8638,16164,8652,14656,6718,16843,8571,18469,9800,19913,10994,20939,11847,21011,11846,21332,12027,21670,12312,21964,12586,21969,12475,21357,11728,21700,11990,21494,11791,18394,8540,20053,10179,20482,10567
12,03012,03012 Algorfa,1589,407,1782,586,1956,736,2297,1071,2914,1674,3645,2389,4125,2835,4346,3035,4537,3209,4625,3277,4755,3416,5004,3635,3799,2470,3693,2339,3222,1838,2761,1365,2838,1431,2935,1499
13,03013,03013 Algueña,1464,49,1449,59,1452,59,1501,98,1528,123,1515,109,1561,135,1551,134,1530,141,1503,140,1527,145,1528,141,1457,95,1413,87,1391,78,1372,64,1341,65,1336,66
14,03014,03014 Alicante/Alacant,293629,15907,305911,24384,310330,28908,319380,35588,322431,37416,322673,39436,331750,47915,334757,50489,334418,50331,334329,49303,334678,49604,335052,49864,332067,44901,328648,39862,330525,41503,329988,40123,331577,42306,334887,45941
15,03015,03015 Almoradí,14334,721,14904,1197,15450,1554,16547,2285,17494,2866,17945,3167,18536,3593,19147,4056,19598,4332,19371,4038,19601,4263,19788,4374,19992,4399,19955,4317,20138,4300,20332,4354,20542,4475,20803,4686
16,03016,03016 Almudaina,113,4,108,3,111,5,116,12,119,17,127,16,129,21,129,21,132,26,131,26,129,23,128,22,112,13,114,12,119,11,113,11,104,9,113,12
17,03017,"03017 Alqueria d'Asnar, l'",432,28,402,27,410,38,449,54,453,53,455,38,470,44,508,48,494,44,508,46,515,42,512,41,527,57,522,49,517,46,496,36,491,42,493,41
18,03018,03018 Altea,17608,3783,18976,4889,19514,5217,21154,6541,21898,7112,22648,7842,23532,8706,23780,8969,24006,9220,24056,9323,24298,9595,24333,9613,22518,7845,22385,7641,21739,6884,21813,6884,21995,7005,22290,7297
19,03019,03019 Aspe,16976,315,17423,574,17833,833,18203,1082,18821,1364,19246,1406,19893,1725,20180,1865,20360,1829,20292,1680,20309,1688,20341,1554,20248,1418,20406,1395,20482,1372,20425,1220,20537,1299,20714,1424
