codine,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
03001,179,167,214,213,229,262,286,313,318,337,348,359,238,248,309,278,279,250
03002,231,331,370,426,482,483,527,544,521,517,489,477,408,372,378,356,359,369
03003,4,28,68,59,34,52,63,61,64,68,72,38,51,46,45,42,35,39
03004,97,120,179,215,243,290,334,335,352,350,347,333,267,240,219,204,221,245
03005,567,815,1090,1468,1769,1957,2373,2402,2382,2391,2409,2429,2188,2101,2056,2080,2213,2370
03006,465,541,602,736,811,815,912,917,931,854,849,805,741,711,688,683,725,715
03007,7,9,13,19,25,35,43,47,48,45,47,47,42,30,37,36,39,38
03008,6,7,10,8,3,8,8,8,11,15,19,14,12,8,11,7,4,4
03009,1234,1905,2421,2778,2536,2871,3575,3690,3697,3572,3470,2935,2972,2964,2896,3050,3331,3705
03010,6,12,15,13,12,22,23,24,18,21,22,19,19,20,18,15,19,21
03011,8638,8652,6718,8571,9800,10994,11847,11846,12027,12312,12586,12475,11728,11990,11791,8540,10179,10567
03012,407,586,736,1071,1674,2389,2835,3035,3209,3277,3416,3635,2470,2339,1838,1365,1431,1499
03013,49,59,59,98,123,109,135,134,141,140,145,141,95,87,78,64,65,66
03014,15907,24384,28908,35588,37416,39436,47915,50489,50331,49303,49604,49864,44901,39862,41503,40123,42306,45941
03015,721,1197,1554,2285,2866,3167,3593,4056,4332,4038,4263,4374,4399,4317,4300,4354,4475,4686
03016,4,3,5,12,17,16,21,21,26,26,23,22,13,12,11,11,9,12
03017,28,27,38,54,53,38,44,48,44,46,42,41,57,49,46,36,42,41
03018,3783,4889,5217,6541,7112,7842,8706,8969,9220,9323,9595,9613,7845,7641,6884,6884,7005,7297
03019,315,574,833,1082,1364,1406,1725,1865,1829,1680,1688,1554,1418,1395,1372,1220,1299,1424
03020,18,18,17,19,23,25,25,28,30,33,33,30,25,19,21,23,21,28
03021,115,246,284,289,280,257,289,306,322,338,335,332,337,308,300,303,324,343
03022,2,9,8,8,7,9,11,14,11,12,10,12,12,10,7,7,6,9
03023,87,218,253,217,119,134,148,146,148,140,123,119,85,101,92,98,96,83
03024,103,176,240,327,413,515,579,595,668,675,684,697,670,669,652,674,651,664
03025,130,154,222,238,295,349,403,432,408,372,355,337,337,316,301,289,312,286
03026,197,213,252,309,362,390,464,529,398,391,410,433,383,401,395,394,430,466
03027,3,33,26,62,48,59,87,77,74,71,90,36,59,46,34,24,23,35
03028,29,62,68,83,69,83,86,97,108,100,97,102,87,71,54,55,48,66
03029,129,185,215,235,240,249,260,271,283,299,295,294,241,223,152,167,183,213
03030,360,383,414,465,534,557,614,655,621,651,666,677,540,544,491,436,455,433
03031,10371,13614,14275,17115,17908,20248,22287,23407,23874,24649,25737,26205,20945,20377,17796,17636,18297,19595
03032,1,0,0,0,0,0,1,1,1,2,1,0,0,1,1,1,0,0
03033,21,22,25,23,27,32,33,35,37,41,43,46,30,20,19,16,16,19
03034,846,1254,1553,1810,1980,2140,2280,2354,2395,2476,2537,1792,2057,1910,1419,1556,1621,1595
03035,10,12,9,17,14,26,38,58,50,47,47,45,47,46,41,35,35,33
03036,2,3,4,6,3,4,3,7,6,2,3,2,2,2,2,2,1,2
