codine,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
03001,29.6,28.4,33.7,34.9,36.5,39.2,41.7,45.2,45.8,46.2,46.5,48.3,38.0,39.2,44.8,41.9,42.2,39.6
03002,5.4,7.4,8.2,9.3,10.2,10.1,10.9,11.3,10.8,10.7,10.2,10.0,8.6,7.9,8.0,7.6,7.6,7.8
03003,0.6,4.5,10.1,9.0,5.5,8.3,10.0,9.9,10.7,11.1,12.0,6.7,8.7,8.0,8.0,7.7,6.4,6.9
03004,15.5,18.8,24.3,26.8,29.4,30.5,31.9,31.5,32.5,31.3,31.4,31.0,27.1,25.6,23.8,22.3,23.6,25.4
03005,6.1,8.5,10.9,14.0,16.3,17.6,20.4,20.5,20.2,20.1,20.2,20.3,18.6,17.8,17.5,17.6,18.4,19.3
03006,43.0,47.0,49.5,54.4,57.2,58.4,60.8,60.8,61.1,59.6,59.2,57.5,54.9,54.2,53.3,53.5,55.9,55.9
03007,4.5,5.5,7.3,10.6,12.9,16.2,18.4,20.6,20.9,19.5,20.2,19.5,17.6,13.9,16.7,15.7,17.0,16.5
03008,2.4,2.9,4.1,3.5,1.4,3.7,3.8,3.9,5.5,7.8,9.3,7.0,6.3,4.3,5.7,3.8,2.2,2.3
03009,2.0,3.2,4.0,4.6,4.2,4.7,5.8,6.0,6.0,5.8,5.7,4.9,5.0,5.0,4.9,5.2,5.6,6.3
03010,1.5,2.9,3.5,3.0,2.8,5.1,5.5,5.8,4.3,5.0,5.3,4.6,4.5,4.9,4.5,3.7,4.7,5.1
03011,54.5,53.5,45.8,50.9,53.1,55.2,56.6,56.4,56.4,56.8,57.3,56.8,54.9,55.3,54.9,46.4,50.8,51.6
03012,25.6,32.9,37.6,46.6,57.4,65.5,68.7,69.8,70.7,70.9,71.8,72.6,65.0,63.3,57.0,49.4,50.4,51.1
03013,3.3,4.1,4.1,6.5,8.0,7.2,8.6,8.6,9.2,9.3,9.5,9.2,6.5,6.2,5.6,4.7,4.8,4.9
03014,5.4,8.0,9.3,11.1,11.6,12.2,14.4,15.1,15.1,14.7,14.8,14.9,13.5,12.1,12.6,12.2,12.8,13.7
03015,5.0,8.0,10.1,13.8,16.4,17.6,19.4,21.2,22.1,20.8,21.7,22.1,22.0,21.6,21.4,21.4,21.8,22.5
03016,3.5,2.8,4.5,10.3,14.3,12.6,16.3,16.3,19.7,19.8,17.8,17.2,11.6,10.5,9.2,9.7,8.7,10.6
03017,6.5,6.7,9.3,12.0,11.7,8.4,9.4,9.4,8.9,9.1,8.2,8.0,10.8,9.4,8.9,7.3,8.6,8.3
03018,21.5,25.8,26.7,30.9,32.5,34.6,37.0,37.7,38.4,38.8,39.5,39.5,34.8,34.1,31.7,31.6,31.8,32.7
03019,1.9,3.3,4.7,5.9,7.2,7.3,8.7,9.2,9.0,8.3,8.3,7.6,7.0,6.8,6.7,6.0,6.3,6.9
03020,10.0,10.5,9.9,11.2,14.4,15.3,15.9,17.2,19.2,20.4,21.0,20.4,18.0,14.3,16.3,18.0,17.2,21.4
