codine,Total Población,Total Extranjeros,Total Europa,Total Unión Europea,Reino Unido,Alemania,Total Africa,Marruecos,Total América,Colombia,Ecuador,Total Asia,Resto
03001,605,179,142,142,103,32,31,31,5,5,0,1,0
03002,4284,231,75,32,3,8,81,72,72,0,71,3,0
03003,623,4,1,1,0,1,0,0,3,0,2,0,0
03004,624,97,79,75,12,6,0,0,18,12,0,0,0
03005,9363,567,198,129,38,55,157,142,212,4,196,0,0
03006,1081,465,439,435,309,51,5,1,12,2,1,9,0
03007,154,7,7,7,0,0,0,0,0,0,0,0,0
03008,245,6,3,3,0,2,0,0,3,0,3,0,0
03009,60465,1234,247,79,13,12,291,220,598,95,373,98,0
03010,406,6,2,2,1,0,0,0,4,1,2,0,0
03011,15848,8638,8027,5983,1842,1186,89,49,405,82,51,106,11
03012,1589,407,383,361,161,149,11,11,11,7,2,2,0
03013,1464,49,23,21,3,6,17,13,9,2,2,0,0
03014,293629,15907,5031,3497,389,315,3113,1139,7056,2634,1498,684,23
03015,14334,721,205,109,32,29,371,358,132,93,13,13,0
03016,113,4,4,4,4,0,0,0,0,0,0,0,0
03017,432,28,3,3,3,0,24,24,1,1,0,0,0
03018,17608,3783,3088,2429,575,575,152,109,494,94,125,42,7
03019,16976,315,138,91,28,9,26,12,145,25,96,6,0
03020,180,18,18,18,17,0,0,0,0,0,0,0,0
03021,7050,115,11,3,0,0,28,25,67,10,42,9,0
03022,196,2,1,1,0,0,0,0,1,0,0,0,0
03023,1816,87,14,3,0,0,5,4,68,0,64,0,0
03024,5019,103,57,11,3,1,17,12,29,20,7,0,0
03025,1138,130,109,106,2,82,8,8,13,2,10,0,0
03026,1344,197,72,61,32,9,15,14,110,93,10,0,0
03027,193,3,3,3,1,0,0,0,0,0,0,0,0
03028,1387,29,6,0,0,0,5,0,18,0,16,0,0
03029,452,129,106,105,82,15,1,0,21,1,0,1,0
03030,967,360,343,331,225,88,5,3,10,0,0,2,0
03031,61352,10371,6809,5100,2346,379,601,362,2327,712,457,627,7
03032,140,1,0,0,0,0,0,0,0,0,0,1,0
03033,164,21,19,13,0,8,0,0,2,0,0,0,0
03034,2434,846,765,735,251,168,23,20,57,0,56,1,0
03035,893,10,5,5,5,0,5,0,0,0,0,0,0
03036,93,2,0,0,0,0,0,0,2,0,2,0,0
03037,378,30,28,25,13,3,0,0,0,0,0,0,2
03038,415,11,11,10,8,0,0,0,0,0,0,0,0
03039,142,2,2,2,1,0,0,0,0,0,0,0,0
03040,336,39,35,35,17,6,4,4,0,0,0,0,0
03041,11051,4127,3729,3323,908,1644,144,119,230,113,46,24,0
03042,2932,1447,1304,1143,697,256,71,47,71,18,34,1,0
03043,3578,67,20,11,0,0,11,4,28,0,23,8,0
03044,5243,193,83,21,9,1,50,43,58,13,29,2,0
03045,355,117,90,87,47,18,8,3,18,13,0,0,1
03046,1875,349,332,291,122,84,4,1,12,5,0,1,0
03047,20103,10298,9096,8245,2469,2813,406,204,594,347,24,155,47
03048,7966,1962,524,374,182,48,275,35,1160,59,1029,3,0
03049,16005,725,213,45,1,3,332,296,172,26,122,8,0
03050,20393,2528,1797,1623,540,158,93,38,571,173,142,64,3
03051,413,8,3,2,1,0,1,1,4,4,0,0,0
03052,1193,44,35,1,1,0,3,3,6,3,3,0,0
03053,7940,223,53,44,15,7,48,27,115,6,81,7,0
03054,432,2,1,1,0,0,0,0,1,0,0,0,0
03055,5380,164,47,27,7,5,78,74,39,19,18,0,0
03056,10567,224,101,70,35,5,51,50,64,14,10,8,0
03057,287,12,8,8,2,4,1,1,0,0,0,3,0
03058,6240,394,62,21,1,7,131,120,201,17,159,0,0
03059,25654,1115,198,144,59,23,642,602,266,167,56,8,1
03060,169,17,12,11,6,1,2,2,3,0,0,0,0
03061,1257,84,25,12,6,1,55,53,4,0,1,0,0
03062,204,31,28,28,8,5,3,1,0,0,0,0,0
