codine,Total Población,Total nacionalidades,Total Europa,Total Unión Europea,Reino Unido,Alemania,Total Africa,Marruecos,Total América,Colombia,Ecuador,Total Asia,Resto
03001,587,167,135,135,95,32,26,26,5,4,0,1,0
03002,4451,331,107,43,10,11,98,84,124,0,119,2,0
03003,622,28,3,3,0,3,0,0,25,0,25,0,0
03004,637,120,97,87,22,6,0,0,23,13,1,0,0
03005,9636,815,287,189,80,63,187,173,339,13,295,2,0
03006,1150,541,504,500,373,54,4,1,23,8,8,10,0
03007,164,9,7,7,2,0,0,0,2,0,0,0,0
03008,244,7,4,3,0,2,0,0,3,0,3,0,0
03009,60036,1905,425,83,20,9,302,223,1089,159,720,89,0
03010,411,12,1,1,0,0,0,0,11,1,4,0,0
03011,16164,8652,7973,5854,1874,1121,103,62,460,87,85,107,9
03012,1782,586,557,532,320,158,14,14,12,6,2,2,1
03013,1449,59,32,23,5,6,18,14,9,1,2,0,0
03014,305911,24384,7266,4577,491,455,4266,1613,11973,3810,3015,853,26
03015,14904,1197,368,200,97,35,589,570,222,140,32,18,0
03016,108,3,3,3,3,0,0,0,0,0,0,0,0
03017,402,27,3,3,3,0,23,23,1,1,0,0,0
03018,18976,4889,3849,2901,707,693,168,115,815,114,276,48,9
03019,17423,574,243,150,62,21,38,16,279,40,189,14,0
03020,172,18,18,18,17,0,0,0,0,0,0,0,0
03021,7321,246,17,7,2,0,55,49,152,18,95,22,0
03022,233,9,4,3,2,0,0,0,5,0,0,0,0
03023,1931,218,73,2,0,0,9,8,135,4,122,1,0
03024,5114,176,101,17,8,1,38,31,37,24,7,0,0
03025,1188,154,137,133,15,90,4,4,13,1,11,0,0
03026,1358,213,92,79,41,14,18,18,103,78,18,0,0
03027,215,33,21,7,3,2,1,1,11,1,10,0,0
03028,1396,62,20,0,0,0,14,1,26,0,21,2,0
03029,509,185,152,150,119,23,4,3,28,1,1,1,0
03030,972,383,364,349,247,87,5,3,13,2,1,1,0
03031,64267,13614,8588,6080,3012,419,743,464,3466,888,892,807,10
03032,138,0,0,0,0,0,0,0,0,0,0,0,0
03033,168,22,21,14,0,9,0,0,1,0,0,0,0
03034,2830,1254,1154,1092,455,235,24,21,75,0,71,1,0
03035,903,12,8,7,6,0,4,0,0,0,0,0,0
03036,92,3,1,0,0,0,0,0,2,0,2,0,0
03037,443,104,63,51,24,7,3,1,36,0,33,0,2
03038,443,17,11,8,5,0,0,0,6,0,0,0,0
03039,140,7,7,7,6,0,0,0,0,0,0,0,0
03040,332,41,39,39,21,6,2,2,0,0,0,0,0
03041,12098,5179,4622,4081,1168,1969,181,148,348,151,57,28,0
03042,3316,1845,1665,1474,902,340,72,49,105,21,59,3,0
03043,3550,83,24,12,0,0,19,12,33,0,30,7,0
03044,5421,321,135,49,23,2,86,77,98,30,50,2,0
03045,357,116,91,87,44,18,7,2,17,9,0,0,1
03046,1998,463,445,396,201,91,4,1,13,5,0,1,0
03047,22446,12421,10883,9656,2920,3293,494,289,812,415,46,186,46
03048,8060,2172,585,393,188,45,246,42,1337,57,1146,4,0
03049,16375,1028,287,62,9,6,423,387,311,50,223,7,0
03050,21761,3277,2256,2008,697,204,105,46,843,235,168,70,3
03051,414,6,4,2,1,0,1,1,1,1,0,0,0
03052,1179,47,37,1,1,0,2,2,8,3,5,0,0
03053,8193,349,85,72,29,10,78,53,166,13,114,20,0
03054,465,18,17,17,14,1,1,1,0,0,0,0,0
03055,5596,282,96,64,25,8,115,110,71,16,35,0,0
03056,10673,282,114,77,41,5,70,67,92,14,24,6,0
03057,325,41,25,23,14,6,1,1,11,0,6,3,1
03058,6355,556,95,30,9,7,152,145,308,11,268,1,0
03059,26260,1556,331,250,118,48,780,734,438,241,114,7,0
03060,160,13,9,9,6,0,1,1,3,0,0,0,0
03061,1272,107,42,14,7,1,54,53,11,2,1,0,0
03062,222,45,42,42,21,5,3,1,0,0,0,0,0
03063,37773,9214,6399,4837,1009,2405,250,158,2375,870,849,186,4
03064,6561,554,193,112,57,19,291,286,68,14,18,1,1
03065,207163,11048,3086,1383,281,203,2738,1453,4966,1922,1657,243,15
03066,54086,2411,314,117,11,15,93,40,1902,1192,429,101,1
03067,112,2,2,2,2,0,0,0,0,0,0,0,0
03068,71,13,12,12,8,1,0,0,1,0,0,0,0
03069,2858,914,759,630,331,47,20,14,115,24,18,20,0
03070,2403,267,117,99,59,12,48,48,102,3,87,0,0
03071,5120,462,220,188,125,18,79,78,158,86,21,5,0
03072,329,2,2,2,0,0,0,0,0,0,0,0,0
03073,252,2,0,0,0,0,0,0,2,2,0,0,0
03074,2039,127,17,8,3,0,67,63,43,0,43,0,0
03075,194,24,21,18,0,9,0,0,3,0,0,0,0
03076,11587,2618,1859,1158,412,355,318,291,386,55,31,53,2
03077,1770,250,219,210,84,71,7,7,23,3,13,0,1
03078,709,134,113,107,63,26,2,1,19,2,17,0,0
03079,22744,1235,185,49,8,4,33,20,981,75,751,36,0
03080,1638,105,79,47,29,2,14,11,12,8,3,0,0
03081,2404,757,640,617,411,118,52,51,55,18,2,10,0
03082,28493,15029,12111,10858,6154,2211,773,738,1864,883,434,259,22
03083,7369,261,93,82,40,25,32,16,135,13,94,1,0
03084,735,11,9,9,1,0,1,1,1,0,0,0,0
03085,757,418,408,387,222,90,2,2,8,0,0,0,0
03086,178,11,10,10,10,0,0,0,1,1,0,0,0
03088,5705,339,87,36,10,9,76,25,176,15,138,0,0
03089,12369,547,183,108,62,29,21,13,317,42,166,26,0
03090,16971,1182,772,608,168,80,57,39,332,80,154,19,2
03091,446,137,117,111,94,7,1,0,18,0,12,1,0
03092,7652,204,68,48,24,1,68,60,57,6,15,10,1
03093,25399,1413,256,120,12,17,245,29,880,96,701,31,1
03094,11522,6028,5492,4781,1108,1489,110,36,391,24,238,30,5
03095,5712,549,282,205,76,55,104,81,147,73,34,16,0
03096,7144,243,61,38,19,4,7,5,165,5,53,10,0
03097,1824,668,619,585,399,104,13,13,34,2,16,1,1
03098,285,129,123,105,27,24,0,0,6,5,0,0,0
03099,67731,17866,14348,11380,6105,2967,1272,538,2063,728,963,181,2
03100,896,270,253,244,122,36,9,9,7,0,0,1,0
03101,6483,1146,914,789,279,275,88,59,129,29,36,14,1
03102,10659,1417,1145,850,377,228,86,69,165,21,93,20,1
03103,358,9,3,3,2,0,1,0,5,0,0,0,0
03104,31255,826,150,70,9,6,55,13,603,443,89,18,0
03105,6645,358,156,74,52,5,37,34,162,25,119,3,0
03106,789,35,31,31,22,0,0,0,4,0,4,0,0
03107,2489,674,491,433,155,89,97,29,83,1,56,3,0
03109,3506,232,50,9,3,1,96,88,86,33,46,0,0
03110,498,184,170,144,95,25,8,8,6,1,3,0,0
03111,5956,288,63,27,3,0,147,121,78,35,23,0,0
03112,856,131,119,112,86,6,1,1,10,5,0,1,0
03113,10681,5940,5654,4181,2355,822,109,88,150,13,107,26,1
03114,2122,182,143,122,94,11,6,0,33,5,27,0,0
03115,421,76,63,63,41,9,10,9,3,3,0,0,0
03116,1388,128,78,66,29,22,4,1,46,11,27,0,0
03117,600,134,105,86,46,29,22,22,7,0,5,0,0
03118,5700,3302,3065,2910,1579,928,123,112,91,2,56,22,1
03119,18107,1358,579,488,79,60,202,147,536,93,109,41,0
03120,5333,2498,2299,2082,1305,570,101,48,92,21,56,6,0
03121,22253,2597,1652,1097,401,116,119,66,759,391,71,67,0
03122,42647,1573,585,378,42,65,240,89,663,201,130,85,0
03123,8953,257,129,104,69,19,2,0,122,31,53,4,0
03124,591,65,56,52,15,26,2,1,6,4,0,1,0
03125,542,152,115,103,65,15,31,28,3,2,0,3,0
03127,736,176,166,148,65,21,0,0,9,0,5,1,0
03128,12299,7592,6744,6180,2893,1942,203,176,578,358,74,63,4
03129,1299,94,84,67,21,17,6,1,4,1,0,0,0
03130,38,6,5,5,5,0,0,0,1,0,0,0,0
03131,303,94,84,80,51,20,7,5,3,0,3,0,0
03132,709,33,29,28,0,20,0,0,4,0,0,0,0
03133,77943,36091,28713,21527,9135,4644,1683,1054,5202,2051,1171,484,9
03134,176,10,10,8,7,1,0,0,0,0,0,0,0
03135,323,22,19,19,7,4,0,0,3,0,0,0,0
03136,595,59,26,23,14,2,0,0,33,2,25,0,0
03137,884,41,29,27,11,5,6,6,6,1,1,0,0
03138,4071,446,202,127,16,76,95,63,144,69,54,5,0
03139,26433,2944,1850,1289,449,203,448,411,602,92,220,44,0
03140,33455,1524,235,74,25,8,258,220,950,422,458,81,0
03901,2274,1289,1233,980,138,682,8,2,44,29,0,4,0
03902,14958,4797,2976,2453,1183,808,1049,1039,732,51,591,40,0
03903,2964,330,267,188,101,46,47,24,15,12,3,1,0
03904,1338,26,19,7,0,14,14,5,2,0,0,0,0
