codine ,Total Población,Total Extranjeros,Total Europa,Total Unión Europea (25),Alemania,Francia,Reino Unido,Resto de Europa,Rumanía,Total Africa,Marruecos,Total América,Colombia,Ecuador,Argentina,Total Asia,Resto
03001,635,214,186,182,51,4,117,4,4,22,22,5,4,0,0,1,0
03002,4517,370,123,70,13,9,16,53,8,108,98,137,1,126,6,2,0
03003,671,68,37,4,3,0,0,33,0,0,0,31,4,27,0,0,0
03004,737,179,142,133,10,22,54,9,0,0,0,37,11,15,7,0,0
03005,10001,1090,387,287,69,9,151,100,35,210,198,491,22,428,7,2,0
03006,1216,602,560,556,47,11,427,4,1,6,3,28,5,10,2,8,0
03007,177,13,11,11,0,0,6,0,0,0,0,2,0,0,2,0,0
03008,241,10,7,4,2,1,0,3,0,0,0,3,0,3,0,0,0
03009,60532,2421,579,150,9,28,21,429,228,363,264,1381,157,933,116,97,1
03010,426,15,3,3,0,0,2,0,0,0,0,12,1,3,0,0,0
03011,14656,6718,6020,4296,602,125,1660,1724,186,100,70,504,89,124,117,90,4
03012,1956,736,703,677,162,3,461,26,0,12,12,20,4,9,5,0,1
03013,1452,59,31,21,6,3,5,10,0,22,19,6,0,1,0,0,0
03014,310330,28908,8362,5007,466,1332,478,3355,1040,5040,1990,14610,4171,4238,3358,867,29
03015,15450,1554,519,317,32,21,172,202,31,740,722,282,151,62,9,12,1
03016,111,5,4,4,0,0,4,0,0,0,0,1,0,0,0,0,0
03017,410,38,9,9,0,0,9,0,0,28,28,1,1,0,0,0,0
03018,19514,5217,3925,2851,609,179,723,1074,432,189,138,1043,130,422,259,52,8
03019,17833,833,332,220,20,32,99,112,15,53,27,428,49,309,46,20,0
03020,171,17,17,17,0,1,16,0,0,0,0,0,0,0,0,0,0
03021,7314,284,22,8,0,0,2,14,1,69,62,162,21,112,17,31,0
03022,237,8,4,3,0,1,2,1,0,0,0,4,0,0,2,0,0
03023,1939,253,113,3,0,1,0,110,0,7,6,132,1,127,3,1,0
03024,5216,240,139,64,0,8,14,75,12,60,50,41,24,12,0,0,0
03025,1351,222,202,197,116,10,34,5,1,7,7,13,1,8,0,0,0
03026,1455,252,133,118,25,8,56,15,1,15,15,104,81,12,1,0,0
03027,199,26,19,6,0,1,3,13,13,1,1,6,0,6,0,0,0
03028,1363,68,23,15,0,0,2,8,0,18,3,25,0,18,2,2,0
03029,531,215,185,184,22,4,153,1,0,4,3,26,1,1,0,0,0
03030,995,414,394,384,78,1,285,10,2,5,3,14,1,0,0,1,0
03031,64956,14275,8514,5713,336,320,2944,2801,963,844,546,3966,940,1259,725,946,5
03032,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03033,173,25,24,17,9,1,2,7,7,0,0,1,1,0,0,0,0
03034,3138,1553,1453,1380,270,14,697,73,2,31,27,67,0,63,1,2,0
03035,891,9,6,5,0,0,3,1,0,3,0,0,0,0,0,0,0
03036,93,4,1,1,0,0,0,0,0,0,0,3,0,3,0,0,0
03037,447,114,69,58,7,4,28,11,0,3,1,41,0,35,3,0,1
03038,455,17,14,11,0,2,9,3,0,0,0,3,0,0,0,0,0
03039,137,8,8,8,0,1,7,0,0,0,0,0,0,0,0,0,0
03040,355,59,57,55,6,3,36,2,0,2,2,0,0,0,0,0,0
03041,11405,4476,3849,3416,1530,122,1068,433,79,231,190,377,145,71,50,19,0
03042,3425,1959,1773,1596,328,20,1033,177,14,61,42,114,13,60,9,7,4
03043,3574,108,46,21,0,4,2,25,0,25,13,27,0,23,1,10,0
03044,5601,417,174,87,4,8,36,87,4,116,97,126,29,76,4,1,0
03045,364,117,97,94,13,11,49,3,0,3,1,16,7,0,0,0,1
03046,2127,558,547,492,85,30,294,55,5,2,1,8,2,0,2,1,0
03047,23653,13383,11593,10185,3418,567,3146,1408,465,552,345,955,453,60,211,251,32
03048,7957,2090,471,290,18,35,148,181,27,188,38,1428,44,1137,42,3,0
03049,16471,1293,347,94,8,28,23,253,19,475,441,460,57,356,0,11,0
03050,22380,3419,2324,2098,181,439,734,226,50,93,38,937,214,178,276,62,3
03051,428,14,8,2,0,1,1,6,3,1,1,5,3,2,0,0,0
03052,1176,31,23,1,0,0,1,22,0,2,2,6,3,3,0,0,0
03053,8532,575,223,194,15,21,121,29,1,107,80,220,16,155,19,25,0
03054,475,39,35,33,3,1,23,2,2,1,1,3,0,0,0,0,0
03055,5884,433,167,129,11,11,76,38,6,172,164,93,17,54,15,0,1
03056,10907,376,132,91,6,12,52,41,18,120,112,118,16,31,47,6,0
03057,301,38,22,21,6,0,13,1,0,1,1,11,0,8,0,3,1
03058,6377,585,107,39,10,10,10,68,7,132,125,345,10,308,7,1,0
03059,26632,1860,464,389,52,48,214,75,18,914,864,471,229,144,42,11,0
03060,150,10,8,8,0,2,6,0,0,1,1,1,0,0,1,0,0
03061,1390,185,111,85,2,0,65,26,0,68,65,6,2,0,0,0,0
03062,261,82,75,75,23,3,32,0,0,1,1,6,0,0,0,0,0
03063,38584,9653,6321,4658,2169,331,1028,1663,284,325,236,2823,904,1101,369,180,4
03064,6863,777,292,238,23,16,133,54,10,364,361,120,14,35,1,0,1
03065,209439,14382,4292,1811,191,300,396,2481,1516,3330,1931,6417,2107,2346,838,329,14
03066,55576,2878,424,175,15,38,17,249,82,114,53,2197,1273,539,144,143,0
03067,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03068,65,13,12,12,1,1,8,0,0,0,0,1,0,0,0,0,0
03069,3377,1203,990,819,59,54,430,171,26,22,18,172,26,36,51,19,0
03070,2588,460,214,185,12,15,137,29,0,102,102,144,8,126,7,0,0
03071,5212,581,249,206,18,6,145,43,25,96,94,231,114,40,65,5,0
03072,344,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0
03073,261,6,1,0,0,0,0,1,0,0,0,5,2,0,1,0,0
03074,2066,133,26,20,0,6,4,6,0,55,50,52,3,44,0,0,0
03075,204,34,32,30,9,3,5,2,0,0,0,2,0,0,2,0,0
03076,12215,3054,2246,1407,404,55,500,839,80,332,300,386,55,44,177,88,2
03077,1936,384,362,351,71,3,182,11,1,5,5,16,1,15,0,0,1
03078,883,305,284,281,41,3,217,3,0,2,1,19,1,18,0,0,0
03079,22967,1444,258,65,6,6,14,193,167,36,21,1113,85,831,87,37,0
03080,1686,153,123,96,2,6,58,27,9,17,14,11,7,3,0,2,0
03081,2400,751,623,598,82,12,437,25,1,51,51,66,18,2,28,11,0
03082,26649,13026,10067,9067,1743,368,5353,1000,30,726,695,1991,883,537,214,229,13
03083,7400,316,126,115,31,6,50,11,2,45,31,145,11,103,22,0,0
03084,735,25,17,17,1,7,9,0,0,4,2,4,0,4,0,0,0
