codine,Total Población,Total Extranjeros,Total Europa,Total Unión Europea (25),Alemania,Francia,Italia,Reino Unido,Resto de Europa,Bulgaria,Rumanía,Total Africa,Marruecos,Total América,Argentina,Bolivia,Colombia,Ecuador,Perú,Total Asia,China,Oceanía y Apátridas
03001,611,213,194,191,57,4,0,121,3,0,3,14,14,4,0,0,3,0,0,1,0,0
03002,4601,426,160,78,12,13,1,20,82,0,31,130,116,134,9,0,5,110,1,2,0,0
03003,653,59,30,5,3,0,0,2,25,23,2,0,0,29,0,0,4,24,0,0,0,0
03004,801,215,169,160,15,25,3,71,9,0,0,0,0,46,13,0,8,16,1,0,0,0
03005,10449,1468,582,420,83,10,1,265,162,68,63,278,262,606,9,33,16,527,0,2,0,0
03006,1352,736,694,687,58,13,1,532,7,3,1,6,3,21,3,3,4,7,0,15,8,0
03007,179,19,19,19,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03008,228,8,6,3,1,1,0,0,3,3,0,0,0,2,0,0,0,2,0,0,0,0
03009,60931,2778,766,166,11,30,24,25,600,131,361,424,304,1478,113,39,164,949,28,109,71,1
03010,430,13,5,3,0,0,1,2,2,0,2,0,0,8,0,5,1,2,0,0,0,0
03011,16843,8571,7761,5424,690,171,130,2179,2337,87,300,135,90,552,117,19,95,136,8,119,85,4
03012,2297,1071,1024,979,162,3,1,745,45,0,1,21,21,25,5,0,11,7,0,0,0,1
03013,1501,98,54,36,5,3,0,21,18,2,6,37,34,7,0,0,0,1,0,0,0,0
03014,319380,35588,10709,6135,570,1531,1737,572,4574,615,1544,6637,2565,17167,3999,444,4674,4545,389,1040,584,35
03015,16547,2285,847,550,38,24,21,335,297,8,50,1037,1020,385,17,0,169,99,0,15,8,1
03016,116,12,12,10,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0
03017,449,54,14,13,0,0,0,12,1,0,1,37,37,3,0,0,3,0,0,0,0,0
03018,21154,6541,5080,3522,687,209,145,970,1558,240,650,237,174,1146,276,13,144,437,16,71,55,7
03019,18203,1082,490,343,20,34,26,184,147,8,23,72,49,483,56,4,58,332,0,37,33,0
03020,169,19,19,19,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03021,7282,289,27,12,0,0,6,2,15,5,1,66,59,158,16,0,20,110,0,38,3,0
03022,222,8,4,3,0,1,0,2,1,0,0,0,0,4,2,0,0,0,0,0,0,0
03023,1886,217,98,6,0,0,0,6,92,90,0,6,5,112,3,2,0,106,0,1,0,0
03024,5249,327,190,92,2,9,1,32,98,25,31,88,73,49,0,3,28,10,0,0,0,0
03025,1385,238,222,217,113,9,1,51,5,0,2,5,5,11,0,4,1,5,0,0,0,0
03026,1548,309,184,164,36,9,3,84,20,5,2,18,18,107,0,0,91,4,0,0,0,0
03027,235,62,51,20,0,3,0,12,31,0,31,4,4,6,0,0,0,6,0,1,1,0
03028,1380,83,37,28,0,0,0,7,9,9,0,15,0,30,8,0,0,19,0,1,0,0
03029,559,235,206,203,21,4,0,170,3,0,1,6,5,23,0,0,3,0,0,0,0,0
03030,1044,465,440,428,90,1,4,310,12,3,2,9,7,16,0,0,1,0,0,0,0,0
03031,67492,17115,10260,6848,373,378,500,3606,3412,683,1316,1053,678,4474,800,100,988,1372,116,1324,789,4
03032,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03033,165,23,22,17,9,1,0,2,5,0,5,0,0,1,0,0,1,0,0,0,0,0
03034,3380,1810,1711,1629,268,14,4,926,82,12,3,34,29,64,1,0,0,61,0,1,0,0
03035,874,17,12,9,0,0,1,7,3,1,1,4,0,1,0,1,0,0,0,0,0,0
03036,102,6,2,2,0,0,0,1,0,0,0,0,0,4,0,0,0,4,0,0,0,0
03037,487,128,81,72,8,4,1,39,9,0,1,3,1,43,1,0,0,39,0,0,0,1
03038,441,17,14,13,0,2,0,11,1,0,0,0,0,3,0,0,0,0,0,0,0,0
03039,140,14,14,14,1,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03040,363,77,74,72,6,5,5,46,2,2,0,2,2,1,0,0,1,0,0,0,0,0
03041,11935,4960,4287,3716,1602,127,59,1224,571,24,175,270,230,382,58,45,147,58,8,21,16,0
03042,3808,2336,2130,1943,385,25,17,1284,187,6,23,63,44,122,14,4,8,67,1,17,15,4
03043,3620,149,80,25,0,3,2,7,55,42,2,31,16,30,1,1,2,23,0,8,0,0
03044,5962,703,369,224,4,9,8,145,145,34,14,152,127,181,3,10,54,100,0,1,0,0
03045,392,147,129,122,16,11,0,73,7,0,0,2,1,15,0,1,7,0,0,0,0,1
03046,2421,841,826,765,116,31,10,481,61,1,9,3,2,10,3,0,1,0,0,2,0,0
03047,25190,14765,12667,10948,3519,593,210,3527,1719,138,680,673,427,1054,220,59,510,74,8,346,280,25
03048,8179,2302,585,352,23,41,8,188,233,63,81,188,50,1528,48,302,42,1102,3,1,0,0
03049,16866,1705,412,127,10,36,2,39,285,71,24,763,710,517,3,5,61,404,2,13,10,0
03050,23640,4058,2845,2552,199,497,173,954,293,12,104,101,38,1042,326,13,236,154,12,66,39,4
03051,416,16,6,2,0,1,0,1,4,1,3,1,1,9,0,0,2,7,0,0,0,0
03052,1198,34,26,2,0,0,0,1,24,9,0,1,1,7,0,0,3,4,0,0,0,0
03053,8977,942,566,529,15,23,9,439,37,7,0,123,93,223,20,0,11,158,0,30,9,0
03054,482,48,43,40,4,1,0,33,3,0,2,1,1,4,3,0,0,1,0,0,0,0
03055,6642,947,527,463,14,17,1,364,64,10,14,269,254,150,21,3,30,66,0,0,0,1
03056,10992,430,165,113,4,9,5,76,52,19,19,132,123,125,54,3,18,25,5,8,7,0
03057,286,34,19,19,6,0,0,11,0,0,0,0,0,11,0,3,0,8,0,3,0,1
03058,6477,692,131,50,10,11,0,12,81,12,10,168,163,392,5,0,10,343,0,1,0,0
03059,27323,2446,640,547,62,55,9,316,93,23,30,1298,1244,497,43,19,253,136,1,11,8,0
03060,150,10,8,8,0,2,0,6,0,0,0,1,1,1,1,0,0,0,0,0,0,0
03061,1562,362,278,249,2,0,1,219,29,0,3,74,69,10,0,0,5,0,0,0,0,0
03062,336,146,142,139,24,3,5,88,3,0,0,0,0,4,0,0,0,0,0,0,0,0
03063,40601,11217,7346,5282,2330,375,250,1274,2064,355,417,454,344,3202,429,35,1016,1172,29,211,154,4
03064,7095,1015,435,360,24,15,0,255,75,5,21,433,429,145,1,0,20,47,0,0,0,2
03065,215137,18666,5927,2342,241,343,473,610,3585,356,2424,4572,2770,7606,1040,263,2243,2562,67,548,509,13
03066,55571,3174,544,209,28,42,40,22,335,14,141,153,82,2315,168,70,1288,534,15,161,146,1
03067,98,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03068,63,14,12,12,1,1,0,8,0,0,0,0,0,2,0,0,1,0,0,0,0,0
03069,3797,1494,1197,997,69,70,28,528,200,24,33,39,31,230,62,0,43,44,8,28,21,0
03070,2898,741,446,384,12,20,4,309,62,25,3,172,169,122,10,2,8,100,0,1,0,0
03071,5375,721,306,253,24,6,4,178,53,11,30,124,123,275,103,0,110,44,3,16,10,0
03072,340,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03073,256,5,0,0,0,0,0,0,0,0,0,0,0,5,1,3,1,0,0,0,0,0
03074,2099,201,27,21,0,3,0,5,6,0,0,89,81,85,0,3,4,70,0,0,0,0
03075,207,39,37,35,9,4,0,8,2,2,0,0,0,2,1,0,0,0,0,0,0,0
03076,13122,3823,2943,1915,439,66,91,771,1028,248,113,343,310,423,183,1,63,55,4,111,100,3
03077,2162,597,576,554,80,3,2,342,22,11,3,5,5,14,0,0,1,13,0,1,0,1
03078,1023,471,453,448,46,3,0,372,5,1,0,2,1,16,0,0,1,15,0,0,0,0
03079,23059,1487,354,75,10,5,29,17,279,26,241,37,17,1029,84,84,69,735,0,67,42,0
03080,1776,219,180,145,5,6,4,94,35,5,11,18,15,19,4,2,7,4,0,2,0,0
03081,2805,1106,930,886,122,21,6,631,44,11,12,58,58,109,41,23,21,9,4,9,7,0
03082,28242,14465,11071,9983,1783,378,172,6161,1088,102,68,766,729,2320,250,27,969,575,6,295,156,13
03083,7494,460,195,169,35,6,9,84,26,2,9,78,62,184,33,4,13,110,5,3,0,0
03084,721,32,21,21,1,7,0,13,0,0,0,5,5,6,0,0,1,5,0,0,0,0
03085,930,584,560,537,111,10,0,341,23,0,10,3,2,21,5,2,4,0,1,0,0,0
03086,178,17,17,17,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03088,6053,548,148,103,14,8,13,44,45,9,24,134,41,266,1,78,17,156,1,0,0,0
03089,12727,936,381,325,29,9,9,152,56,7,14,36,33,481,28,152,49,225,7,38,10,0
03090,18452,1658,1161,955,113,177,72,312,206,18,28,124,99,362,81,7,51,128,4,9,1,2
03091,515,218,198,181,10,3,0,156,17,11,1,0,0,19,0,0,0,9,0,1,0,0
03092,8148,356,148,105,2,18,6,66,43,28,5,109,100,85,4,2,10,23,4,13,11,1
03093,26233,1998,487,249,28,29,38,62,238,5,128,326,46,1160,25,55,98,907,13,24,20,1
03094,12573,5504,4772,4098,896,122,77,1388,674,53,43,169,55,527,71,2,32,301,10,31,12,5
03095,5834,695,361,237,53,16,17,88,124,4,29,136,120,183,18,6,76,38,0,15,6,0
03096,7500,476,175,96,7,2,11,60,79,24,38,30,28,252,32,17,6,69,0,19,0,0
03097,2117,947,869,805,127,12,5,585,64,21,11,15,15,60,2,3,7,38,0,2,0,1
03098,718,208,195,167,41,18,3,53,28,4,9,1,1,12,6,0,3,1,0,0,0,0
03099,75009,24324,19628,16200,2774,144,140,10223,3428,784,325,1492,674,2832,119,337,723,1379,13,369,246,3
03100,960,337,315,292,35,28,1,167,23,4,17,15,14,6,2,1,0,0,0,1,0,0
03101,6733,1411,1062,949,278,31,12,433,113,4,16,144,104,197,72,0,34,48,12,7,0,1
03102,10781,1829,1482,1132,265,80,12,566,350,46,63,119,102,208,10,1,22,132,0,19,11,1
03103,354,22,7,6,0,0,0,3,1,0,0,1,0,14,0,11,0,0,0,0,0,0
03104,32388,1081,204,122,8,20,26,31,82,1,16,57,19,781,49,24,470,139,7,39,33,0
03105,7072,692,366,252,6,11,3,220,114,4,4,39,36,281,11,1,41,198,0,6,0,0
03106,793,52,48,37,0,9,0,27,11,0,10,0,0,4,0,0,1,3,0,0,0,0
03107,3353,1115,839,714,86,83,15,383,125,4,53,98,43,176,18,1,12,117,2,2,0,0
03109,3770,468,94,25,0,1,0,5,69,3,40,262,256,112,6,1,23,76,1,0,0,0
03110,532,206,189,170,28,5,0,122,19,0,1,10,10,5,1,0,2,0,0,2,1,0
03111,6645,636,154,99,5,22,3,15,55,24,19,300,243,182,16,54,49,38,0,0,0,0
03112,1022,273,244,215,9,9,3,159,29,4,17,18,12,10,4,0,0,2,0,1,0,0
03113,13807,9009,8458,7110,1054,70,70,4668,1348,88,32,201,175,287,4,3,12,214,1,61,52,2
03114,2361,415,333,328,15,5,5,250,5,3,0,6,0,75,0,0,4,67,1,1,0,0
03115,456,114,99,99,14,4,1,71,0,0,0,14,14,1,0,0,0,1,0,0,0,0
03116,1466,188,155,116,23,10,3,71,39,36,0,3,0,30,3,0,11,14,0,0,0,0
03117,664,188,151,128,40,1,1,76,23,0,4,24,24,13,3,0,0,10,0,0,0,0
03118,8197,5701,5379,5168,1012,65,31,3658,211,0,20,183,167,108,15,0,3,71,0,31,22,0
03119,19711,1989,890,708,75,184,115,128,182,22,49,165,132,889,287,37,176,181,10,44,15,1
03120,6620,3808,3547,3194,631,21,9,2262,353,77,21,117,62,121,3,0,12,85,0,22,16,1
03121,25494,4700,3456,2752,155,305,141,1582,704,85,65,187,115,938,185,9,395,77,16,118,80,1
03122,46034,2433,936,528,83,114,138,51,408,65,96,336,118,1054,267,37,224,255,27,106,69,1
03123,9399,564,359,317,33,10,8,258,42,10,0,7,5,188,9,25,29,99,0,10,9,0
03124,633,89,75,70,26,1,2,25,5,1,0,3,2,9,0,0,4,0,0,2,0,0
03125,619,234,169,157,23,7,1,89,12,1,7,54,49,11,0,0,5,4,0,0,0,0
03127,736,227,212,196,28,32,2,78,16,0,10,0,0,14,1,0,0,10,0,1,0,0
03128,11983,7234,6223,5620,1581,149,57,2786,603,152,60,254,235,680,86,27,370,102,6,75,56,2
03129,1485,193,180,172,41,7,0,75,8,0,4,4,1,9,4,0,1,0,0,0,0,0
03130,35,6,5,5,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0
03131,328,129,117,115,25,1,0,79,2,0,0,10,8,2,0,0,0,2,0,0,0,0
03132,727,78,67,52,18,3,0,8,15,0,10,3,2,8,0,0,2,4,0,0,0,0
03133,84348,40188,29347,20473,3033,376,634,9832,8874,1053,972,2791,1908,7212,1032,59,2315,1686,66,829,511,9
03134,167,13,10,8,0,0,0,8,2,0,0,0,0,3,0,0,0,2,0,0,0,0
03135,328,35,30,27,3,10,0,13,3,0,0,0,0,5,0,1,0,3,1,0,0,0
03136,622,87,56,48,4,2,0,38,8,0,7,0,0,31,3,1,3,23,0,0,0,0
03137,932,107,98,88,10,3,1,54,10,0,9,6,4,3,0,0,0,0,0,0,0,0
03138,4490,789,414,262,127,12,12,45,152,11,105,180,138,192,22,6,63,64,0,3,0,0
03139,27983,4229,2632,1779,228,139,121,728,853,79,371,586,538,941,273,20,159,300,9,68,31,2
03140,34185,2168,451,166,8,17,11,94,285,105,107,360,325,1257,26,5,480,670,1,100,88,0
03901,2404,1378,1318,1068,692,30,23,217,250,9,10,5,2,50,3,1,28,3,6,5,2,0
03902,18051,7389,5283,4477,887,47,36,2962,806,45,158,1052,1038,975,34,12,50,800,4,79,75,0
03903,3319,589,538,352,38,10,14,240,186,92,21,29,20,21,8,0,8,1,0,1,0,0
03904,1368,58,33,24,2,3,1,13,9,4,1,13,12,12,0,0,3,2,0,0,0,0
