codine,Total Población,Total Extranjeros,Total Europa,Total Unión Europea (27),Alemania,Francia,Italia,Reino Unido,Bulgaria,Rumanía,Resto de Europa,Rusia,Ucrania,Total Africa,Marruecos,Total América,Argentina,Bolivia,Colombia,Ecuador,Perú,Total Asia,China,Oceanía y Apátridas
03001,668,262,251,251,64,3,2,161,2,4,0,0,0,1,1,8,3,0,3,1,0,2,0,0
03002,4766,483,217,165,18,14,1,31,0,64,52,36,8,157,147,104,9,1,4,78,0,5,1,0
03003,623,52,49,49,2,0,0,16,27,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0
03004,951,290,249,242,25,34,9,112,1,0,7,3,0,1,0,38,8,0,3,20,0,1,0,1
03005,11102,1957,854,813,98,10,3,402,75,131,41,12,9,472,456,625,9,48,10,527,0,6,3,0
03006,1395,815,764,761,55,23,2,588,3,1,3,0,0,4,3,37,4,12,2,8,4,10,7,0
03007,216,35,30,30,0,0,0,24,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0
03008,219,8,6,6,1,1,0,0,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
03009,60700,2871,1100,1018,12,30,29,28,151,663,82,42,23,472,331,1207,72,51,124,754,28,92,58,0
03010,430,22,12,12,0,0,1,4,0,7,0,0,0,2,0,8,0,8,0,0,0,0,0,0
03011,19913,10994,10066,7579,809,210,165,2856,108,651,2487,116,86,144,85,652,132,41,96,132,12,130,97,2
03012,3645,2389,2363,2288,168,9,2,1983,3,4,75,2,11,8,7,18,3,0,3,6,1,0,0,0
03013,1515,109,58,56,4,6,1,28,1,9,2,1,1,36,34,15,0,1,2,4,0,0,0,0
03014,322673,39436,14108,11601,790,1829,2376,711,969,2466,2507,923,788,7282,2824,16803,3408,1124,4134,3914,466,1216,665,27
03015,17945,3167,1409,1099,44,32,25,708,18,63,310,92,165,1286,1268,437,21,9,183,109,1,34,27,1
03016,127,16,16,16,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03017,455,38,10,10,0,0,0,10,0,0,0,0,0,26,26,2,0,0,1,1,0,0,0,0
03018,22648,7842,6357,5543,810,257,176,1287,246,880,814,223,46,296,216,1084,239,45,130,374,16,102,61,3
03019,19246,1406,785,676,18,48,40,347,14,80,109,20,82,91,72,486,68,14,63,292,2,44,40,0
03020,163,25,25,25,0,1,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03021,7193,257,48,41,0,0,6,7,7,7,7,0,3,50,45,115,11,0,21,70,3,44,5,0
03022,210,9,7,6,2,1,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
03023,1828,134,80,80,0,0,1,12,67,0,0,0,0,6,6,48,3,2,0,39,0,0,0,0
03024,5419,515,292,249,4,11,2,64,43,63,43,4,34,168,149,52,3,10,23,11,0,3,3,0
03025,1601,349,317,310,120,13,2,118,0,2,7,0,1,7,7,24,6,11,1,3,0,1,0,0
03026,1729,390,277,261,69,10,3,134,5,8,16,0,2,14,11,98,2,0,76,6,1,1,0,0
03027,220,59,56,56,2,3,0,10,0,35,0,0,0,0,0,2,0,1,0,1,0,0,0,1
03028,1335,83,52,52,0,0,0,16,17,2,0,0,0,21,2,10,0,0,0,6,0,0,0,0
03029,570,249,244,243,16,8,0,208,0,4,1,0,0,0,0,5,0,0,0,0,0,0,0,0
03030,1139,557,531,522,109,3,8,357,3,2,9,0,0,11,10,14,1,2,1,0,0,1,0,0
03031,69058,20248,12676,11358,421,439,663,4539,854,2143,1318,474,397,1253,809,4519,682,176,968,1328,112,1797,924,3
03032,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03033,188,32,31,28,10,2,0,7,0,2,3,0,0,0,0,1,0,1,0,0,0,0,0,0
03034,3707,2140,2038,1976,260,27,9,1144,20,6,62,4,0,42,41,42,0,0,0,41,0,18,11,0
03035,843,26,17,16,0,0,0,10,0,5,1,0,0,1,1,8,0,7,0,0,0,0,0,0
03036,101,4,3,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
03037,466,94,83,80,9,5,1,37,0,5,3,0,0,2,1,9,0,0,0,6,0,0,0,0
03038,441,33,31,30,0,1,0,25,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
03039,131,15,15,15,1,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03040,429,131,127,126,7,5,5,91,2,1,1,0,0,2,2,2,1,0,1,0,0,0,0,0
03041,12690,5641,4971,4594,1679,138,63,1545,34,306,377,9,46,246,219,393,54,73,129,59,14,31,20,0
03042,4773,3225,3018,2820,507,40,17,1838,13,48,198,76,17,64,58,131,14,4,14,44,1,11,9,1
03043,3693,171,107,97,0,3,3,14,52,2,10,0,0,32,20,28,1,1,3,17,0,4,0,0
03044,6588,1154,625,512,6,9,5,258,99,46,113,41,63,260,212,263,2,23,77,140,1,6,4,0
03045,399,154,143,136,15,10,0,80,5,1,7,2,0,1,1,10,0,0,4,0,0,0,0,0
03046,2847,1181,1164,1106,140,68,7,656,0,20,58,4,2,5,2,11,2,0,3,0,0,1,0,0
03047,27768,17033,14786,13778,3770,673,284,4143,222,1193,1008,135,108,793,560,1090,201,102,512,64,12,360,284,4
03048,8008,2234,819,780,31,48,5,232,89,254,39,10,5,111,55,1299,66,553,27,616,0,5,3,0
03049,17423,2250,504,323,9,34,4,91,77,48,181,35,115,1084,1017,651,7,53,61,464,4,11,10,0
03050,25055,4795,3693,3525,269,645,252,1228,15,198,168,45,22,131,48,900,295,19,200,85,14,70,39,1
03051,414,14,3,3,0,1,0,1,0,0,0,0,0,1,0,10,0,0,1,9,0,0,0,0
03052,1203,37,28,13,0,0,0,1,8,4,15,0,14,0,0,9,0,0,4,4,0,0,0,0
03053,9673,1405,1014,970,21,28,12,822,17,0,44,9,21,147,116,224,12,22,7,139,0,20,5,0
03054,517,80,76,75,5,1,0,50,0,7,1,0,0,2,1,2,2,0,0,0,0,0,0,0
03055,8105,2029,1572,1533,29,19,8,1277,16,26,39,3,8,377,371,76,10,8,17,27,0,4,0,0
