codine,Total Población,Españoles,Total Extranjeros,Total Europa,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total Africa,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,Rep. Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Oceanía y Apátridas
03001,744,385,359,359,357,83,22,7,0,0,2,210,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03002,4787,4310,477,235,197,19,0,18,2,10,2,36,77,38,22,8,172,2,170,0,0,62,4,0,1,4,3,2,31,10,0,0,0,1,8,1,0,0
03003,565,527,38,36,36,1,21,0,1,0,1,8,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
03004,1073,740,333,295,281,29,1,42,4,0,0,120,0,14,5,0,1,0,0,0,0,34,2,0,0,1,0,1,20,2,2,0,0,0,3,0,0,0
03005,11983,9554,2429,1098,1050,85,118,12,11,6,4,448,246,48,15,9,748,3,735,1,0,564,11,39,11,32,3,5,439,10,1,0,1,0,19,16,1,0
03006,1401,596,805,763,756,53,1,30,3,0,0,564,1,7,0,0,2,1,1,0,0,27,6,7,0,2,1,0,2,1,0,0,0,4,13,6,0,0
03007,241,194,47,41,41,0,0,0,1,0,2,33,1,0,0,0,4,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
03008,199,185,14,13,13,1,0,6,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03009,60105,57170,2935,1278,1186,18,139,28,33,38,11,30,829,92,41,23,679,71,544,3,12,816,56,37,31,111,41,12,399,2,32,15,7,10,161,94,48,1
03010,415,396,19,19,19,0,0,0,0,0,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03011,21969,9494,12475,11449,8518,774,145,256,208,71,40,3325,827,2931,253,119,235,90,123,0,12,592,100,23,41,106,37,26,108,18,13,20,18,36,196,135,24,3
03012,5004,1369,3635,3596,3479,176,8,11,7,5,6,2964,8,117,34,10,21,0,19,2,0,16,3,0,0,4,1,0,1,0,1,0,1,2,2,0,0,0
03013,1528,1387,141,88,87,2,0,6,1,17,0,39,15,1,1,0,44,2,42,0,0,8,1,1,0,1,1,0,0,0,0,0,0,3,1,0,1,0
