codine,Total Población,Españoles,Total Extranjeros,Total Europa,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total África,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,República Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Oceanía y Apátridas
03002,4713,4354,359,174,139,18,0,14,7,2,3,36,37,35,18,7,121,2,117,1,1,49,5,2,0,9,1,3,12,8,0,1,0,1,15,6,3,0
03003,551,516,35,34,34,3,16,0,1,0,0,11,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03004,936,715,221,188,176,19,0,23,3,2,0,47,1,12,2,1,8,6,1,0,0,24,5,0,0,1,2,1,7,0,0,0,1,1,1,0,0,0
03005,12042,9829,2213,603,572,32,46,11,10,4,10,249,138,31,10,9,1229,1,1212,1,2,366,5,30,13,16,3,2,280,7,2,1,1,2,15,10,2,0
03006,1298,573,725,689,682,38,3,33,2,6,0,500,1,7,0,0,1,0,1,0,0,23,4,4,1,6,1,0,2,0,0,0,0,1,12,6,0,0
03007,229,190,39,35,35,0,0,0,1,0,3,23,7,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03008,180,176,4,4,4,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03009,58977,55646,3331,1110,1003,12,126,28,35,21,11,42,666,107,48,32,1241,75,1100,4,21,778,36,33,53,111,40,10,298,3,37,29,5,30,200,89,95,2
03010,407,388,19,17,17,0,0,0,0,0,0,7,8,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
03011,20053,9874,10179,9033,6521,465,120,195,169,50,34,2412,757,2512,335,190,308,140,122,1,22,525,84,17,35,91,39,19,57,17,6,29,18,38,310,161,27,3
03012,2838,1407,1431,1353,1280,24,5,11,13,4,2,1059,6,73,43,4,35,15,19,1,0,21,1,4,1,8,2,0,1,0,0,0,0,1,22,9,0,0
03013,1341,1276,65,34,32,1,0,5,1,0,0,18,3,2,1,0,24,0,24,0,0,7,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0
03014,331577,289271,42306,15312,9941,501,756,1102,2231,464,300,672,2290,5371,2278,1768,13175,7886,3445,391,564,10613,1376,450,477,2860,533,183,1080,749,249,299,343,1052,3147,1699,389,59
03015,20542,16067,4475,1565,1172,36,49,29,39,22,25,637,153,393,108,196,2537,79,2438,1,2,300,21,4,15,109,23,18,46,6,1,8,11,17,73,57,9,0
03016,104,95,9,8,8,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03017,491,449,42,11,11,2,5,0,0,0,0,3,1,0,0,0,29,0,28,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
03018,21995,14990,7005,5426,4217,393,209,215,190,70,31,733,922,1209,688,156,430,77,297,6,29,787,132,63,46,93,67,18,142,10,10,14,26,47,356,109,47,6
03019,20537,19238,1299,746,643,20,10,45,34,10,5,193,175,103,20,60,153,41,102,0,5,329,22,10,11,55,5,3,145,7,9,5,9,12,71,51,9,0
03001,661,382,279,275,267,54,2,21,0,0,0,161,3,8,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
03020,122,101,21,21,21,2,0,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03021,7113,6789,324,49,41,0,12,2,1,0,1,10,11,8,0,4,82,1,77,0,4,91,5,0,7,37,1,0,34,2,2,0,0,1,102,7,95,0
03022,156,150,6,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
03023,1703,1607,96,73,71,0,51,0,0,0,1,6,11,2,0,1,8,0,0,1,6,14,2,4,0,0,0,0,8,0,0,0,0,0,1,0,1,0
03024,5361,4710,651,390,353,2,103,11,8,15,5,85,93,37,2,31,214,4,206,0,0,36,3,3,2,13,3,0,5,2,1,0,0,1,11,4,6,0
03025,1940,1628,312,259,242,61,2,12,7,23,0,83,19,17,6,10,26,0,26,0,0,24,10,0,1,8,0,0,4,0,0,0,0,1,3,0,0,0
03026,1983,1553,430,351,327,87,9,21,7,6,1,122,17,24,4,3,26,1,25,0,0,50,4,2,4,16,1,1,9,0,0,1,2,4,3,0,0,0
03027,178,155,23,22,22,2,0,2,1,0,0,6,10,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03028,1118,1070,48,27,27,0,10,0,0,0,0,7,8,0,0,0,10,0,9,0,0,11,1,0,0,0,3,0,3,0,1,0,0,0,0,0,0,0
03030,1110,655,455,417,397,75,0,10,11,0,0,244,4,20,1,0,19,1,18,0,0,17,3,3,0,3,1,3,0,0,0,0,0,0,0,0,0,2
03031,67558,49261,18297,9956,8271,194,747,302,582,131,109,2322,2447,1685,778,563,2119,901,996,134,30,2671,304,74,131,619,316,94,462,63,77,119,106,176,3540,1015,1694,11
03032,108,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03033,149,133,16,16,15,2,0,2,0,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03029,444,261,183,179,176,5,0,0,2,0,0,153,5,3,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
03034,3357,1736,1621,1509,1382,86,4,18,8,7,0,828,5,127,30,8,33,9,24,0,0,24,3,3,0,3,0,0,6,1,0,2,0,0,53,20,2,2
03035,742,707,35,31,29,2,0,0,2,0,1,18,4,2,0,1,0,0,0,0,0,4,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
03036,94,93,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03037,490,400,90,83,68,2,0,8,1,0,0,32,3,15,11,1,1,0,0,0,0,6,0,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0
03038,413,382,31,28,27,0,0,1,0,2,0,21,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
03039,96,83,13,13,13,1,1,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03040,410,303,107,100,94,12,0,8,0,0,0,61,1,6,0,0,0,0,0,0,0,6,1,1,0,2,0,0,0,1,1,0,0,0,0,0,0,1
03041,10768,7378,3390,2820,2545,562,33,108,54,24,12,844,278,275,74,64,244,24,214,1,1,255,16,23,17,111,9,11,18,0,3,5,8,8,63,42,3,8
03042,4130,1703,2427,2211,1966,287,16,49,24,9,0,1194,68,245,137,25,58,6,50,0,1,90,3,3,6,19,2,0,8,0,1,2,6,8,68,62,0,0
03043,3651,3530,121,84,77,1,14,8,3,2,4,27,5,7,0,2,21,3,17,0,0,5,1,1,0,0,0,0,2,0,0,1,0,0,11,4,7,0
03044,6702,5628,1074,522,404,9,104,6,14,18,9,176,32,118,46,60,416,127,282,0,7,109,2,13,7,39,5,0,31,0,0,6,3,1,27,11,3,0
03045,418,231,187,168,162,11,4,6,0,1,0,90,4,6,4,0,14,9,5,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
03046,2925,2013,912,870,821,97,0,75,20,8,1,411,18,49,14,2,2,0,1,0,1,37,5,0,0,3,8,0,0,0,0,0,6,2,2,0,0,1
03049,18864,15110,3754,467,239,6,54,19,10,4,8,48,65,228,23,144,2962,60,2896,3,1,281,7,31,8,27,8,0,154,17,1,4,13,1,44,19,22,0
03048,7257,5996,1261,691,635,24,47,23,10,3,5,85,376,56,25,15,152,71,77,0,0,405,38,147,3,14,4,10,172,3,4,0,5,3,13,7,3,0
03047,21633,11823,9810,7731,6551,911,172,323,222,116,34,1617,1341,1180,585,231,955,68,647,1,228,711,123,41,27,340,38,1,13,7,10,7,18,42,411,219,25,2
03050,27893,23302,4591,3409,2966,181,37,698,326,61,39,664,322,443,230,89,369,281,67,2,8,638,168,9,39,84,40,17,26,42,15,18,45,52,170,70,17,5
03051,428,402,26,24,24,0,15,1,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
03052,1214,1175,39,26,15,0,7,1,0,0,0,2,5,11,0,11,8,0,8,0,0,4,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
03053,9880,8856,1024,620,573,12,8,27,27,5,4,397,22,47,19,22,200,22,176,0,1,138,25,9,5,5,4,18,35,2,3,2,7,4,66,28,29,0
03054,435,360,75,64,64,3,0,5,0,0,0,45,1,0,0,0,8,6,2,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
03075,209,157,52,46,42,2,3,2,3,0,0,18,0,4,4,0,3,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
03055,8631,6658,1973,1327,1264,43,10,52,21,7,2,847,46,63,9,11,494,12,481,0,0,98,9,6,9,12,2,6,28,5,0,1,2,14,53,40,1,1
03056,11456,10178,1278,296,257,5,17,12,7,4,5,110,64,39,14,13,872,6,841,2,10,85,14,4,3,13,6,2,15,1,5,3,0,1,25,14,10,0
03057,208,173,35,21,19,1,0,1,1,0,0,10,3,2,0,0,8,0,7,0,1,5,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1
03058,7226,6083,1143,217,139,2,26,10,1,2,0,27,54,78,0,76,728,4,719,0,0,186,0,5,6,7,1,0,136,4,1,4,12,1,12,12,0,0
03059,28957,25560,3397,757,699,51,0,52,21,8,5,369,56,58,13,5,2233,98,2113,2,0,308,24,16,22,138,3,0,37,19,0,12,2,11,97,82,7,2
03061,1718,1263,455,319,292,3,1,1,2,2,2,235,0,27,2,4,124,4,118,0,0,10,1,0,2,5,1,0,0,0,0,0,1,0,2,1,0,0
03062,685,255,430,412,399,10,1,7,1,5,1,270,1,13,3,0,1,1,0,0,0,13,1,0,0,4,2,0,2,0,0,2,0,1,3,1,1,1
03063,41733,33021,8712,6183,4710,969,449,397,326,80,50,860,864,1473,573,506,537,61,414,8,31,1536,177,39,79,428,86,44,220,41,23,24,114,141,449,148,62,7
03064,7383,6196,1187,505,474,31,6,19,5,0,1,283,31,31,9,8,585,16,567,0,1,87,4,1,9,9,6,26,18,0,0,2,0,4,10,3,6,0
03065,230625,207811,22814,7744,6617,203,328,386,612,133,151,582,3571,1127,378,259,7578,1493,4420,245,440,5006,447,159,223,1348,184,109,903,736,93,88,171,281,2476,2190,123,10
03066,52404,50092,2312,838,629,18,19,23,49,39,24,33,348,209,34,136,464,153,272,4,25,777,68,37,26,340,31,15,70,23,17,25,11,72,226,107,49,7
03067,101,98,3,2,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03068,53,47,6,6,6,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03069,6381,3949,2432,1973,1483,63,77,74,95,19,35,499,194,490,336,76,169,60,102,2,1,235,58,5,23,35,19,8,14,2,2,11,11,27,53,32,4,2
03077,2474,1604,870,841,832,58,6,14,7,3,0,456,9,9,0,0,3,1,2,0,0,16,0,0,1,5,0,3,2,0,0,0,0,4,9,5,0,1
03070,4131,2575,1556,1184,1118,19,62,37,11,26,6,715,51,66,24,16,283,29,250,0,0,67,7,0,5,8,2,1,34,1,1,2,1,2,22,10,4,0
03072,471,425,46,46,46,3,0,1,0,0,0,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03071,5893,4806,1087,597,547,31,4,23,28,16,1,315,32,50,26,11,296,1,288,0,4,175,91,0,0,48,0,2,12,0,0,0,16,2,17,10,2,2
03073,258,245,13,12,12,0,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
03074,2489,2101,388,79,64,0,14,4,2,2,1,3,20,15,1,12,249,6,243,0,0,57,1,4,2,18,3,3,19,3,0,1,1,0,3,2,0,0
03076,15058,10544,4514,3699,2503,157,346,78,108,36,21,992,210,1196,581,402,376,43,300,0,27,271,48,5,35,42,19,23,16,12,6,7,18,12,166,113,7,2
03078,1132,566,566,550,541,25,1,12,6,2,0,384,2,9,3,1,1,0,0,0,0,7,1,3,0,0,1,0,1,0,0,0,0,1,8,0,0,0
03079,23403,22196,1207,666,638,6,27,12,24,6,6,14,527,28,14,10,78,33,36,0,2,338,34,24,7,27,11,5,145,20,4,3,16,6,124,48,71,1
03080,1986,1594,392,322,301,10,2,8,3,37,0,196,8,21,5,15,52,6,46,0,0,18,1,5,1,6,1,0,0,0,0,0,0,1,0,0,0,0
03082,27224,15807,11417,8847,8019,927,118,393,232,98,30,4545,220,828,270,147,844,16,793,1,3,1235,94,17,25,466,18,13,122,8,11,4,93,253,470,115,188,21
03083,6875,6507,368,166,146,19,2,13,14,0,1,41,23,20,4,8,118,14,101,1,0,72,9,10,3,6,4,3,23,0,3,0,4,1,10,8,2,2
03085,1051,322,729,714,703,82,0,9,2,0,0,466,9,11,1,0,7,0,7,0,0,8,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
03084,596,565,31,30,30,0,0,4,0,0,0,18,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
03086,229,171,58,58,57,0,0,1,0,0,0,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03088,7944,7125,819,306,289,7,2,24,30,6,1,95,91,17,5,4,258,177,74,0,6,224,4,63,7,22,3,0,84,8,0,3,7,6,31,16,9,0
03089,12175,11430,745,426,400,27,6,12,16,64,1,201,26,26,3,11,48,23,18,0,0,240,5,56,2,42,9,2,102,2,6,1,0,4,31,11,9,0
03903,4844,3149,1695,1481,1350,42,84,23,15,21,13,928,48,131,26,60,65,7,52,1,3,84,11,2,3,29,5,0,6,1,1,1,9,11,64,23,0,1
03091,493,286,207,200,196,4,15,4,0,0,0,140,0,4,0,0,1,0,0,0,0,6,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
