codine,Total Población,Españoles,Total Extranjeros,Total Europa,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total Africa,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,República Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Oceanía y Apátridas
03001,611,371,240,234,228,41,2,35,2,0,0,113,3,6,0,0,2,0,2,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
03002,4794,4396,398,187,153,21,0,17,13,2,3,40,34,34,16,8,133,6,123,0,1,57,2,2,0,15,1,4,15,5,1,0,0,1,21,6,6,0
03003,564,519,45,44,43,2,20,1,1,0,0,14,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03004,986,740,246,212,204,17,0,38,11,2,0,58,4,8,1,0,4,2,0,1,0,29,4,0,2,4,3,1,4,1,1,0,2,0,1,0,0,0
03005,12474,9936,2538,713,679,27,53,14,19,4,18,296,162,34,11,9,1418,2,1400,3,0,381,4,31,12,33,2,1,267,11,4,6,1,2,23,15,4,3
03006,1302,556,746,703,695,40,2,29,4,0,1,502,2,8,0,0,0,0,0,0,0,23,5,4,2,3,1,0,2,0,0,0,0,1,20,15,0,0
03007,226,192,34,29,29,0,0,0,1,0,2,17,6,0,0,0,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03008,177,169,8,6,6,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03009,59354,55112,4242,1198,1103,19,134,28,70,24,12,51,686,95,48,26,1753,99,1554,4,33,1029,65,28,78,212,51,15,273,3,51,21,13,68,259,117,111,3
03010,406,383,23,19,19,1,0,0,2,0,0,6,8,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
