codine,Total Población,Total Europa,Total Unión Europea,Alemania,Francia,Reino Unido,Total Africa,Marruecos,Total América,Colombia,Ecuador,Argentina,Total Asia,Oceanía
03001,605,147,147,34,6,104,33,31,6,5,0,0,1,0
03002,4284,97,52,12,24,6,83,74,84,4,71,6,4,0
03003,623,2,2,1,1,0,0,0,3,0,2,1,0,0
03004,624,76,70,7,20,11,10,5,22,13,0,5,1,0
03005,9363,308,214,59,85,38,162,147,224,4,196,4,1,0
03006,1081,445,440,51,11,314,7,1,18,2,1,10,12,0
03007,154,10,10,0,1,0,0,0,1,0,0,0,0,0
03008,245,4,4,2,1,0,1,1,3,0,3,0,0,0
03009,60465,533,343,35,232,22,404,284,687,105,373,52,105,3
03010,406,7,7,0,4,2,0,0,5,1,2,0,0,0
03011,15848,8013,5949,1200,223,1858,184,82,593,99,51,177,186,14
03012,1589,452,406,154,15,170,11,11,13,7,2,2,3,0
03013,1464,26,23,6,7,3,29,14,9,2,2,0,0,0
03014,293629,7433,5379,835,2568,505,6208,3189,9607,2839,1529,2468,907,27
03015,14334,337,221,38,115,37,382,369,148,93,13,9,15,0
03016,113,5,5,0,0,5,0,0,0,0,0,0,0,0
03017,432,2,2,0,0,2,26,25,3,1,0,0,0,0
03018,17608,3133,2441,603,178,576,283,145,692,102,125,248,83,7
03019,16976,212,153,15,91,29,78,45,168,29,99,24,7,0
03020,180,18,18,0,1,17,0,0,1,0,0,1,1,0
03021,7050,19,9,1,5,2,42,39,73,11,45,1,9,0
03022,196,0,0,0,0,0,0,0,1,0,0,1,0,0
03023,1816,23,11,0,8,2,9,6,71,1,65,4,0,0
03024,5019,161,105,1,92,4,27,13,34,18,7,2,0,0
03025,1138,142,137,83,43,2,9,9,14,2,10,1,0,0
03026,1344,96,78,11,21,29,21,16,118,92,10,9,0,0
03027,193,4,4,0,2,1,0,0,2,0,0,2,0,1
03028,1387,21,15,2,13,0,9,1,21,0,16,3,0,0
03029,452,115,114,18,5,85,12,0,38,1,0,2,1,0
03030,967,368,353,92,17,228,8,4,14,0,0,2,2,0
03031,61352,7097,5419,461,570,2407,1001,620,2986,772,455,732,658,14
03032,140,0,0,0,0,0,0,0,0,0,0,0,1,0
03033,164,25,19,9,4,1,0,0,2,0,0,0,0,3
03034,2434,820,784,176,55,252,25,21,59,0,58,0,1,0
03035,893,11,11,1,4,6,9,1,1,0,0,0,0,0
03036,93,1,0,0,0,0,0,0,2,0,2,0,0,0
03037,378,27,24,3,3,11,1,0,1,0,0,0,1,2
03038,415,18,14,1,4,9,0,0,1,0,0,1,0,0
03039,142,6,6,0,3,3,0,0,0,0,0,0,0,0
03040,336,44,44,7,10,17,6,4,0,0,0,0,0,0
03041,11051,3704,3260,1626,134,869,193,122,292,121,46,30,39,2
03042,2932,1324,1167,258,25,707,74,46,87,18,34,8,3,0
03043,3578,31,22,3,11,0,17,9,31,1,23,3,8,1
03044,5243,130,65,6,42,11,49,42,66,14,28,6,3,0
03045,355,87,84,18,9,46,19,3,19,14,0,0,0,1
03046,1875,360,317,84,20,139,23,9,28,5,0,9,6,0
03047,20103,9082,8189,2858,500,2421,589,267,685,359,22,136,183,45
03048,7966,570,411,50,102,192,311,42,1181,62,1021,38,5,3
03049,16005,702,516,14,483,2,344,307,183,29,122,5,8,0
03050,20393,1800,1555,179,212,556,445,227,793,184,146,187,101,15
03051,413,4,3,0,2,1,2,2,5,5,0,0,0,0
03052,1193,49,7,0,5,1,3,3,10,4,5,0,0,0
03053,7940,79,66,10,32,16,53,31,130,7,81,13,7,0
03054,432,9,8,0,6,2,1,0,3,0,0,2,0,0
03055,5380,134,110,12,72,8,89,75,40,19,18,2,0,0
03056,10567,164,124,13,51,39,59,52,105,15,10,26,8,0
03057,287,22,22,7,2,5,1,1,0,0,0,0,4,0
03058,6240,230,185,9,173,1,132,120,211,18,156,7,0,0
03059,25654,437,359,54,196,69,676,617,302,173,57,29,10,0
