codine,Total Población,Total,Total Europa,Total Unión Europea,Alemania,Francia,Reino Unido,Total Africa,Marruecos,Total América,Colombia,Ecuador,Argentina,Total Asia,Oceanía
03001,587,175,140,140,34,6,96,28,26,6,4,0,0,1,0
03002,4451,370,132,66,16,28,12,99,85,136,5,118,9,3,0
03003,622,28,3,3,3,0,0,0,0,25,0,25,0,0,0
03004,637,136,97,84,8,20,20,10,5,28,14,1,11,1,0
03005,9636,937,398,279,67,83,82,189,177,347,13,291,8,3,0
03006,1150,561,510,505,55,11,374,8,1,31,9,8,9,12,0
03007,164,13,10,10,0,1,2,0,0,3,0,0,2,0,0
03008,244,9,5,4,2,1,0,1,1,3,0,3,0,0,0
03009,60036,2371,703,337,29,230,27,405,286,1169,163,710,106,91,3
03010,411,18,6,6,0,5,0,0,0,12,1,4,0,0,0
03011,16164,9070,8013,5842,1141,225,1892,187,88,667,101,89,202,189,14
03012,1782,663,630,580,166,16,330,14,14,15,6,2,5,3,1
03013,1449,73,34,24,6,6,5,30,14,9,1,2,0,0,0
03014,305911,33158,9325,6094,944,2788,605,7348,3652,15356,4028,3035,4622,1096,33
03015,14904,1349,495,303,45,111,101,588,569,246,141,32,12,20,0
03016,108,3,3,3,0,0,3,0,0,0,0,0,0,0,0
03017,402,28,2,2,0,0,2,24,23,2,1,0,0,0,0
03018,18976,5335,3855,2870,713,206,711,299,151,1075,128,277,393,98,8
03019,17423,731,322,219,28,96,66,87,48,308,44,195,37,14,0
03020,172,20,18,18,0,1,17,0,0,1,0,0,1,1,0
03021,7321,265,30,16,2,8,2,61,56,152,19,94,22,22,0
03022,233,8,3,3,0,0,2,0,0,5,0,0,3,0,0
03023,1931,232,81,9,0,5,2,13,10,137,5,122,4,1,0
03024,5114,300,207,107,1,89,8,51,34,42,23,7,1,0,0
03025,1188,191,172,167,91,41,16,5,5,14,1,11,1,0,0
03026,1358,247,111,91,17,21,35,25,21,111,78,17,7,0,0
03027,215,35,21,8,2,2,3,1,1,13,1,10,2,0,0
03028,1396,81,34,14,2,12,0,16,2,29,0,21,3,2,0
03029,509,222,160,158,24,5,123,15,3,46,1,1,2,1,0
03030,972,416,391,374,93,15,251,8,4,16,2,1,2,1,0
03031,64267,15023,8816,6334,495,596,3063,1128,707,4224,949,879,1111,840,15
03032,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03033,168,32,28,20,10,4,1,0,0,1,0,0,0,0,3
03034,2830,1311,1206,1136,240,51,453,26,22,78,0,73,2,1,0
03035,903,25,15,14,1,5,7,9,1,1,0,0,0,0,0
03036,92,4,2,0,0,0,0,0,0,2,0,2,0,0,0
03037,443,106,61,49,6,5,22,5,2,37,0,32,2,1,2
03038,443,23,15,9,1,3,5,0,0,8,0,0,4,0,0
03039,140,11,10,10,0,3,7,0,0,1,0,0,0,0,0
03040,332,52,48,48,7,10,21,4,2,0,0,0,0,0,0
03041,12098,5269,4578,3995,1943,149,1119,229,153,412,159,56,64,48,2
03042,3316,1872,1676,1489,345,25,901,74,48,117,21,57,7,5,0
03043,3550,106,35,23,3,11,0,25,17,38,1,30,3,7,1
03044,5421,374,176,88,6,47,24,86,77,109,30,50,7,3,0
03045,357,124,88,84,18,9,43,18,2,17,9,0,0,0,1
03046,1998,530,466,415,90,26,213,26,10,32,5,0,10,6,0
03047,22446,12692,10811,9521,3317,556,2852,684,350,933,432,49,229,220,44
03048,8060,2260,627,429,48,100,197,278,45,1346,58,1125,60,6,3
03049,16375,1525,773,535,19,486,11,431,390,314,52,212,6,7,0
03050,21761,3958,2284,1951,231,301,711,452,242,1096,253,174,327,114,12
03051,414,12,6,3,0,2,1,2,2,4,2,1,0,0,0
03052,1179,63,50,6,0,5,1,2,2,11,4,6,0,0,0
03053,8193,395,108,91,13,35,30,81,55,186,16,115,16,20,0
03054,465,32,25,25,0,6,18,3,1,4,0,0,3,0,0
03055,5596,385,185,150,16,83,25,125,111,75,16,35,16,0,0
03056,10673,395,179,132,13,52,43,76,68,133,19,24,45,7,0
03057,325,57,39,37,9,3,17,1,1,12,0,6,2,4,1
03058,6355,736,261,192,9,172,8,152,145,322,12,265,8,1,0
03059,26260,1856,570,463,77,204,122,801,734,472,246,112,53,13,0
03060,160,13,8,8,0,2,6,2,1,3,0,0,3,0,0
03061,1272,122,59,27,2,11,7,52,50,11,2,1,1,0,0
03062,222,49,46,42,5,7,22,3,1,0,0,0,0,0,0
03063,37773,10059,6647,4992,2482,555,991,478,228,2713,875,835,478,211,10
03064,6561,584,224,140,21,41,56,282,275,76,18,18,4,1,1
03065,207163,14286,4909,2814,503,1444,297,3461,1981,5625,1961,1642,911,280,11
03066,54086,2913,594,350,40,214,19,214,116,2004,1195,426,150,99,2
03067,112,3,3,3,0,1,2,0,0,0,0,0,0,0,0
03068,71,10,6,6,2,0,3,2,0,2,0,1,1,0,0
03069,2858,1004,808,677,56,81,329,36,21,139,27,17,41,20,1
03070,2403,315,162,123,17,32,62,48,48,105,3,89,8,0,0
03071,5120,513,230,197,24,20,120,89,81,187,87,19,60,7,0
03072,329,2,2,2,1,0,0,0,0,0,0,0,0,0,0
03073,252,6,2,1,1,0,0,2,0,2,2,0,0,0,0
03074,2039,230,118,110,0,104,3,68,64,44,0,44,0,0,0
03075,194,25,21,18,9,4,0,0,0,4,0,0,4,0,0
03076,11587,2782,1896,1171,372,85,409,331,288,504,63,34,244,51,0
03077,1770,281,240,231,71,14,90,7,7,32,3,13,2,0,2
03078,709,139,118,112,26,7,63,2,1,19,2,17,0,0,0
03079,22744,1432,291,144,33,79,9,77,51,1025,78,738,93,38,1
03080,1638,117,89,56,3,10,31,15,12,13,8,3,1,0,0
03081,2404,815,646,616,117,22,407,64,49,94,18,3,61,11,0
03082,28493,15212,12009,10723,2219,503,6053,837,742,1991,868,423,276,347,28
03083,7369,332,122,108,28,23,43,62,33,146,14,94,26,2,0
03084,735,22,13,13,0,11,1,4,1,5,0,0,3,0,0
03085,757,448,430,403,88,17,233,5,2,9,0,0,3,4,0
03086,178,15,13,13,0,1,12,0,0,2,1,0,1,0,0
03088,5705,371,104,52,10,20,10,85,27,181,16,138,1,1,0
03089,12369,623,230,149,41,39,61,33,16,333,39,166,24,27,0
03090,16971,1621,969,769,126,220,178,182,109,439,82,155,90,28,3
03091,446,158,122,116,5,0,104,7,0,28,0,13,2,1,0
03092,7652,265,94,71,5,30,24,77,67,78,8,15,16,13,3
03093,25399,1682,389,232,47,124,12,329,74,926,102,685,54,37,1
03094,11522,6246,5474,4717,1492,176,1101,182,62,490,36,237,78,96,4
03095,5712,678,338,246,66,66,70,131,90,185,72,36,34,24,0
03096,7144,342,97,77,14,30,16,19,8,214,5,56,31,11,1
03097,1824,724,638,597,107,28,395,35,15,44,2,14,10,6,1
03098,285,135,121,101,26,13,24,1,0,8,5,0,0,5,0
03099,67731,18572,14856,11834,3120,458,6097,1341,564,2149,735,948,103,224,2
03100,896,299,256,246,36,24,125,22,9,20,0,0,16,1,0
03101,6483,1267,963,828,278,66,282,106,68,176,30,37,66,21,1
03102,10659,1610,1294,994,241,194,392,105,79,182,23,97,9,28,1
03103,358,13,6,6,0,1,4,1,0,6,0,0,0,0,0
03104,31255,1118,323,210,30,121,14,95,28,673,462,89,35,27,0
03105,6645,373,169,86,7,19,51,36,32,165,25,121,3,3,0
03106,789,48,37,34,1,10,22,2,2,9,1,4,0,0,0
03107,2489,759,472,412,92,63,174,183,36,101,3,57,12,3,0
03109,3506,293,103,59,4,49,3,99,88,89,33,49,1,2,0
03110,498,196,177,153,25,16,96,10,9,9,3,3,0,0,0
03111,5956,415,170,126,10,99,3,157,131,87,35,23,10,1,0
03112,856,146,132,125,7,13,89,2,1,11,5,0,1,1,0
03113,10681,6091,5767,4233,853,138,2350,123,89,166,16,106,7,34,1
03114,2122,193,152,127,11,7,94,6,0,35,5,27,0,0,0
03115,421,85,67,65,9,6,38,13,9,5,3,0,0,0,0
03116,1388,170,112,97,32,34,29,6,1,51,11,27,11,1,0
03117,600,151,112,93,29,7,47,24,22,14,0,5,7,1,0
03118,5700,3355,3026,2835,905,60,1532,156,119,118,3,56,17,53,2
03119,18107,1850,750,625,101,257,81,318,206,732,102,105,273,49,1
03120,5333,2519,2305,2086,571,22,1303,104,44,98,20,57,3,12,0
03121,22253,3095,1778,1170,149,285,402,328,164,909,400,74,178,80,0
03122,42647,2465,965,723,128,365,55,487,240,899,233,135,278,113,1
03123,8953,329,180,153,25,48,68,12,6,133,34,53,9,4,0
03124,591,81,69,65,26,13,14,5,2,6,4,0,0,1,0
03125,542,149,111,98,14,5,64,31,27,3,2,0,0,4,0
03127,736,187,155,136,22,25,61,11,0,20,0,7,4,1,0
03128,12299,7713,6698,6103,1944,188,2835,234,174,671,365,74,91,108,2
03129,1299,109,88,71,19,4,23,9,3,9,0,0,6,3,0
03130,38,2,2,2,1,1,0,0,0,0,0,0,0,0,0
03131,303,95,83,79,20,1,51,8,5,4,0,4,0,0,0
03132,709,82,73,65,41,3,3,1,0,7,0,0,0,1,0
03133,77943,37840,28931,21453,4836,716,8946,2010,1196,6191,2142,1186,971,683,25
03134,176,13,12,10,1,1,8,0,0,0,0,0,0,0,1
03135,323,32,21,21,4,10,6,7,2,4,0,0,0,0,0
03136,595,67,34,31,1,8,17,1,0,32,2,24,3,0,0
03137,884,73,40,35,8,8,12,17,6,16,1,1,3,0,0
03138,4071,535,262,175,85,49,17,106,64,160,71,54,10,7,0
03139,26433,3276,1956,1366,215,193,461,562,505,702,100,222,207,55,1
03140,33455,1751,387,200,25,114,28,283,241,999,424,445,43,82,0
03901,2274,1324,1226,956,667,41,134,30,4,59,29,0,10,9,0
03902,14958,4989,3175,2631,858,118,1211,1049,1032,728,53,572,44,37,0
03903,2964,364,289,213,49,19,101,48,25,25,12,7,4,2,0
03904,1338,71,48,38,1,19,7,17,14,6,2,0,1,0,0
