codine,Total Población,Nacidos en el Extranjero,Total Europa,Total Unión Europea (25),Alemania,Francia,Reino Unido,Resto de Europa,Rumanía,Total Africa,Marruecos,Total América,Colombia,Ecuador,Argentina,Total Asia,Oceanía
03001,635,222,191,187,53,7,117,4,4,24,22,6,4,0,0,1,0
03002,4517,406,145,92,16,26,18,53,7,108,98,150,6,125,11,3,0
03003,671,68,37,3,3,0,0,34,0,0,0,31,4,27,0,0,0
03004,737,191,140,129,12,18,52,11,0,9,4,41,11,15,10,1,0
03005,10001,1211,496,374,76,83,148,122,38,210,200,500,22,421,11,5,0
03006,1216,625,572,566,48,16,429,6,2,10,3,35,5,10,9,8,0
03007,177,18,15,15,0,2,6,0,0,0,0,3,0,0,2,0,0
03008,241,12,8,5,2,2,0,3,0,1,1,3,0,3,0,0,0
03009,60532,2870,847,403,32,231,26,444,230,454,323,1467,161,917,153,98,4
03010,426,21,8,8,0,5,2,0,0,0,0,13,1,3,0,0,0
03011,14656,7126,6060,4307,617,174,1673,1753,189,178,97,721,99,122,222,154,13
03012,1956,812,775,724,168,15,472,51,0,12,12,22,4,8,7,2,1
03013,1452,73,33,23,6,4,5,10,0,33,18,7,0,1,0,0,0
03014,310330,38022,10126,6277,935,2644,604,3849,1070,8079,4017,18667,4423,4250,5527,1119,31
03015,15450,1701,644,416,44,110,174,228,32,729,710,312,152,61,19,16,0
03016,111,5,4,4,0,0,4,0,0,0,0,1,0,0,0,0,0
03017,410,38,8,8,0,0,8,0,0,29,28,1,1,0,0,0,0
03018,19514,5699,3934,2816,622,200,733,1118,430,317,172,1343,144,422,448,99,6
03019,17833,986,409,291,29,103,101,118,16,101,60,456,51,308,66,20,0
03020,171,19,17,17,0,1,16,0,0,0,0,1,0,0,1,1,0
03021,7314,302,33,15,1,9,2,18,3,72,65,166,22,111,19,31,0
03022,237,8,4,4,0,1,2,0,0,0,0,4,0,0,2,0,0
03023,1939,267,122,11,1,5,2,111,1,11,8,133,1,126,5,1,0
03024,5216,366,244,157,1,89,14,87,14,73,53,49,24,12,1,0,0
03025,1351,265,242,236,118,44,35,6,1,8,8,15,1,8,2,0,0
03026,1455,286,155,135,28,24,50,20,1,21,17,110,77,12,7,0,0
03027,199,29,19,6,0,2,3,13,13,2,1,8,0,6,2,0,0
03028,1363,87,37,29,2,12,2,8,0,20,4,28,0,18,3,2,0
03029,531,253,192,191,23,5,156,1,0,15,3,46,1,1,2,0,0
03030,995,446,417,405,83,13,287,12,2,9,5,19,1,0,2,1,0
03031,64956,15692,8740,5972,411,523,2997,2768,932,1189,767,4789,991,1223,1161,960,14
03032,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03033,173,35,31,23,10,4,3,8,7,0,0,1,1,0,0,0,3
03034,3138,1609,1504,1424,275,56,694,80,2,32,27,69,0,64,2,4,0
03035,891,19,10,9,0,4,3,1,0,7,1,2,0,0,1,0,0
03036,93,5,2,2,0,0,0,0,0,0,0,3,0,3,0,0,0
03037,447,116,65,54,6,5,26,11,0,6,2,42,0,34,3,2,1
03038,455,24,18,12,0,3,9,6,0,0,0,6,0,0,1,0,0
03039,137,12,11,11,0,3,8,0,0,0,0,1,0,0,0,0,0
03040,355,70,66,64,7,10,36,2,0,4,2,0,0,0,0,0,0
03041,11405,4558,3812,3356,1503,140,1026,456,84,270,189,439,150,69,74,36,1
03042,3425,1989,1788,1612,334,26,1031,176,15,62,43,127,13,59,12,8,4
03043,3574,130,57,32,3,11,3,25,0,31,18,31,1,23,3,10,1
03044,5601,469,216,127,9,47,37,89,4,113,96,137,29,76,9,3,0
03045,364,127,94,91,13,10,49,3,0,15,1,17,7,0,0,0,1
03046,2127,634,580,520,84,31,305,60,6,19,9,28,3,0,11,7,0
03047,23653,13662,11496,10032,3439,543,3072,1464,469,745,411,1118,466,62,308,272,31
03048,7957,2177,518,334,22,66,154,184,26,215,40,1435,45,1107,71,6,3
