codine,Total Población,Nacidos en el Extranjero,Total Europa,Total Unión Europea (25),Alemania,Francia,Italia,Reino Unido,Resto de Europa,Bulgaria,Rumanía,Total África,Marruecos,Total América,Argentina,Bolivia,Colombia,Ecuador,Perú,Total Asia,China,Oceanía
03001,611,221,199,196,59,7,0,121,3,0,3,16,14,5,0,0,3,0,0,1,0,0
03002,4601,454,181,100,14,30,2,23,81,0,31,124,113,144,10,0,11,108,1,5,2,0
03003,653,59,30,5,3,0,0,2,25,23,2,0,0,29,0,0,4,24,0,0,0,0
03004,801,224,165,153,17,19,1,69,12,0,0,10,4,47,12,0,8,16,1,2,0,0
03005,10449,1567,687,502,88,84,1,260,185,67,64,272,258,603,16,32,16,508,4,5,2,0
03006,1352,757,704,695,58,17,1,534,9,3,2,11,4,27,9,3,4,7,0,15,9,0
03007,179,23,22,22,0,1,1,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0
03008,228,10,7,4,1,2,0,0,3,3,0,1,1,2,0,0,0,2,0,0,0,0
03009,60931,3221,1034,423,33,239,25,30,611,130,361,508,356,1562,149,40,173,925,39,113,67,4
03010,430,18,10,8,0,5,1,2,2,0,2,0,0,8,0,5,1,2,0,0,0,0
03011,16843,8933,7699,5352,711,208,85,2161,2347,87,292,221,113,790,221,18,115,134,17,210,82,13
03012,2297,1138,1087,1021,168,16,1,752,66,0,1,21,21,27,6,0,11,7,0,2,0,1
03013,1501,113,56,38,5,4,0,21,18,2,6,47,32,10,0,0,0,1,0,0,0,0
03014,319380,44949,12072,7040,1036,2827,549,695,5032,620,1540,9613,4555,21908,6574,466,4959,4541,519,1321,613,35
03015,16547,2392,952,636,51,111,9,333,316,8,50,990,971,429,34,0,171,97,1,21,8,0
03016,116,12,12,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03017,449,54,13,12,0,0,0,11,1,0,1,38,37,3,0,0,3,0,0,0,0,0
03018,21154,6996,5043,3447,700,231,76,972,1596,241,643,363,207,1462,483,14,160,428,21,121,55,7
03019,18203,1237,565,415,30,105,12,185,150,8,23,118,81,519,84,4,60,330,0,35,31,0
03020,169,21,20,20,0,0,0,20,0,0,0,0,0,1,1,0,0,0,0,0,0,0
03021,7282,307,33,15,1,9,1,2,18,5,3,68,61,168,23,0,21,109,0,38,3,0
03022,222,8,4,4,0,1,0,2,0,0,0,0,0,4,2,0,0,0,0,0,0,0
03023,1886,228,108,15,1,4,0,9,93,90,1,8,5,111,4,2,0,104,0,1,0,0
03024,5249,440,284,180,2,88,1,31,104,26,31,98,74,58,2,3,28,10,0,0,0,0
03025,1385,280,261,255,115,42,2,52,6,0,2,6,6,13,2,4,1,5,0,0,0,0
03026,1548,349,208,182,40,27,5,75,26,5,2,24,19,116,6,0,90,4,1,1,0,0
03027,235,65,49,18,0,2,0,12,31,0,31,7,4,8,2,0,0,6,0,1,1,0
03028,1380,100,48,39,2,11,0,5,9,9,0,16,1,35,10,0,0,19,3,1,0,0
03029,559,278,213,210,23,5,0,173,3,0,1,16,5,49,3,0,3,0,1,0,0,0
03030,1044,492,456,442,96,13,3,307,14,3,2,12,8,24,5,0,1,0,0,0,0,0
03031,67492,18440,10331,6953,450,555,275,3639,3378,674,1277,1383,885,5400,1312,98,1058,1314,145,1312,713,14
03032,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03033,165,30,26,22,9,4,0,3,4,0,4,0,0,1,0,0,1,0,0,0,0,3
03034,3380,1855,1750,1663,272,54,3,921,87,12,3,36,30,64,2,0,0,59,0,5,2,0
03035,874,25,15,12,0,3,1,7,3,1,1,7,1,3,1,1,0,0,0,0,0,0
03036,102,7,3,3,0,0,0,1,0,0,0,0,0,4,0,0,0,4,0,0,0,0
03037,487,130,79,70,8,5,1,37,9,0,1,5,1,43,1,0,0,37,0,2,1,1
03038,441,23,18,14,0,3,0,11,4,0,0,0,0,5,1,0,0,0,0,0,0,0
03039,140,18,17,17,1,3,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0
03040,363,84,77,75,6,12,0,46,2,2,0,4,2,3,2,0,1,0,0,0,0,0
03041,11935,5041,4234,3643,1578,145,41,1174,591,27,181,311,230,454,87,48,155,59,11,40,17,2
03042,3808,2353,2135,1950,392,32,13,1277,185,6,24,62,44,134,18,4,7,64,1,18,14,4
03043,3620,165,86,35,3,10,1,8,51,39,2,34,19,36,4,1,4,23,0,8,1,1
03044,5962,752,410,265,10,49,5,145,145,34,14,148,125,191,9,10,55,100,0,3,0,0
03045,392,156,126,119,16,11,0,71,7,0,0,13,1,15,0,1,7,0,1,1,0,1
03046,2421,905,840,773,112,31,9,481,67,1,10,21,8,34,12,0,2,0,1,10,0,0
03047,25190,15045,12543,10775,3540,568,138,3453,1768,137,675,872,493,1245,330,60,524,75,15,361,257,24
03048,8179,2375,633,401,27,73,7,196,232,62,78,211,49,1522,79,292,43,1068,3,6,2,3
03049,16866,2134,872,579,19,476,4,39,293,71,24,739,681,510,11,5,61,379,3,13,9,0
03050,23640,4835,2948,2562,229,465,101,970,386,20,119,379,229,1382,506,15,262,159,23,109,43,17
03051,416,18,6,3,0,2,0,1,3,1,2,1,1,11,0,0,2,8,1,0,0,0
03052,1198,47,36,8,0,6,0,1,28,11,0,1,1,10,0,0,4,5,0,0,0,0
03053,8977,989,583,542,16,41,3,437,41,7,0,124,94,249,31,0,13,157,0,33,11,0
03054,482,60,51,48,3,6,0,37,3,0,2,2,1,7,5,0,0,1,0,0,0,0
03055,6642,1042,622,551,21,91,1,367,71,10,15,265,248,154,23,3,31,65,0,0,0,1
03056,10992,537,230,169,13,51,5,77,61,18,19,125,113,171,71,3,20,25,8,11,8,0
03057,286,49,33,33,9,2,0,14,0,0,0,0,0,11,0,3,0,8,0,4,0,1
03058,6477,861,295,213,12,170,0,11,82,12,10,163,158,402,10,0,12,328,0,1,0,0
03059,27323,2718,867,748,96,201,15,316,119,21,31,1292,1217,542,57,20,261,136,3,17,13,0
03060,150,11,7,7,0,1,0,6,0,0,0,2,1,2,2,0,0,0,0,0,0,0
03061,1562,371,291,260,3,12,0,215,31,0,3,69,63,10,1,0,5,0,0,1,0,0
03062,336,149,145,137,25,5,1,88,8,0,0,0,0,4,0,0,0,0,0,0,0,0
03063,40601,12096,7591,5462,2412,580,158,1259,2129,347,413,654,403,3607,633,36,1017,1148,42,235,132,9
03064,7095,1023,470,393,27,41,2,254,77,5,21,400,395,148,4,0,23,44,0,2,0,3
03065,215137,21617,7482,3581,539,1448,227,615,3901,357,2376,5117,3160,8430,1440,263,2266,2493,102,580,499,8
03066,55571,3711,809,426,53,211,35,28,383,14,147,277,160,2464,209,72,1303,536,21,160,141,1
03067,98,2,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03068,63,9,6,5,2,0,0,2,1,0,1,2,0,1,1,0,0,0,0,0,0,0
03069,3797,1594,1233,1028,75,96,23,519,205,24,31,56,38,273,86,0,45,43,9,31,22,1
03070,2898,782,492,407,16,41,4,307,85,25,4,163,160,126,11,2,8,100,0,1,0,0
03071,5375,772,312,257,29,18,3,166,55,11,28,140,131,301,127,0,107,42,3,19,9,0
03072,340,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03073,256,8,2,1,1,0,0,0,1,0,0,1,0,5,1,3,1,0,0,0,0,0
03074,2099,302,132,126,0,108,0,5,6,0,0,88,80,82,0,3,4,67,0,0,0,0
03075,207,39,37,35,9,4,0,8,2,2,0,0,0,2,1,0,0,0,0,0,0,0
03076,13122,3980,2935,1889,449,94,43,769,1046,246,114,351,298,591,287,1,76,56,5,102,82,1
03077,2162,629,594,571,80,13,3,346,23,11,3,7,7,24,1,0,1,13,0,2,0,2
03078,1023,475,457,449,46,8,0,369,8,1,0,2,1,16,0,0,1,15,0,0,0,0
03079,23059,1693,455,168,40,80,14,17,287,26,239,79,48,1085,143,85,69,706,3,74,45,0
03080,1776,233,191,153,8,11,6,92,38,5,13,19,16,20,4,2,7,5,0,3,0,0
03081,2805,1171,941,893,125,28,5,629,48,11,11,69,57,149,79,23,21,10,4,12,9,0
03082,28242,14669,10930,9819,1786,396,130,6025,1111,101,75,858,753,2493,346,27,952,556,10,368,153,20
03083,7494,533,215,187,38,24,4,87,28,2,8,102,74,211,52,4,15,110,6,5,0,0
03084,721,43,25,25,2,11,0,12,0,0,0,9,6,9,2,0,1,5,0,0,0,0
