codine,Total Población,Nacidos en el Extranjero,Total Europa,Total Unión Europea (25),Alemania,Francia,Italia,Reino Unido,Resto de Europa,Bulgaria,Rumanía,Total Africa,Marruecos,Total América,Argentina,Bolivia,Colombia,Ecuador,Perú,Total Asia,China,Oceanía
03001,627,237,225,220,63,9,0,135,5,0,5,6,4,5,0,0,3,0,0,1,0,0
03002,4723,503,207,103,14,31,2,25,104,0,42,143,133,146,13,1,13,105,0,7,3,0
03003,614,32,26,4,2,0,0,2,22,18,4,0,0,6,0,0,0,5,0,0,0,0
03004,827,253,203,191,20,23,1,93,12,0,0,11,5,37,12,0,5,10,1,2,0,0
03005,10878,1874,847,604,95,88,2,329,243,77,104,369,349,651,19,34,16,543,5,7,2,0
03006,1418,834,762,750,56,26,1,575,12,3,4,11,6,43,16,10,4,7,0,18,13,0
03007,194,29,27,27,0,1,0,19,0,0,0,0,0,2,0,0,0,1,0,0,0,0
03008,213,5,4,4,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
03009,60590,2978,983,427,33,228,25,35,556,87,369,509,324,1378,129,48,133,798,41,105,58,3
03010,422,17,12,10,0,5,1,4,2,0,2,0,0,5,0,5,0,0,0,0,0,0
03011,18469,10116,8816,6068,776,224,104,2528,2748,101,421,231,116,826,225,31,98,121,17,232,102,11
03012,2914,1734,1690,1615,172,19,1,1316,75,1,2,14,13,27,5,0,9,6,0,3,1,0
03013,1528,132,67,48,5,6,1,26,19,2,9,48,34,17,0,0,2,1,0,0,0,0
03014,322431,46939,13388,8156,1149,3156,685,815,5232,655,1695,9997,4657,21991,6597,724,4699,4064,568,1521,725,42
03015,17494,2960,1314,923,50,115,9,577,391,20,58,1149,1131,470,39,1,194,94,1,27,14,0
03016,119,17,17,17,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03017,453,57,18,16,0,2,1,12,2,0,2,37,36,2,0,0,1,0,1,0,0,0
03018,21898,7585,5596,3927,750,246,84,1181,1669,224,670,411,237,1443,481,20,154,392,23,131,58,4
03019,18821,1509,768,561,30,108,16,299,207,14,46,135,94,562,106,10,67,318,1,44,39,0
03020,160,24,23,23,0,1,0,22,0,0,0,0,0,1,1,0,0,0,0,0,0,0
03021,7237,303,41,17,1,9,1,2,24,6,8,67,60,152,22,0,20,95,3,43,5,0
03022,210,7,4,4,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,1,1,0
03023,1802,124,48,20,1,4,0,14,28,26,1,5,3,71,3,4,0,62,0,0,0,0
03024,5306,522,331,210,3,86,1,53,121,38,33,135,107,56,2,9,23,8,0,0,0,0
03025,1493,334,305,300,116,39,2,95,5,0,1,8,8,20,2,8,1,5,0,1,0,0
03026,1615,397,256,223,59,28,3,96,33,5,6,27,22,113,6,0,80,6,2,1,0,0
03027,208,50,42,16,0,2,0,10,26,0,26,5,2,3,1,0,0,2,0,0,0,0
03028,1324,86,47,32,1,11,0,5,15,14,1,21,4,18,3,0,1,5,3,0,0,0
03029,563,286,240,234,19,5,0,200,6,0,2,11,3,35,2,0,1,0,1,0,0,0
03030,1113,560,514,494,105,13,3,348,20,3,6,13,9,33,5,0,4,0,0,0,0,0
03031,67627,19287,11002,7576,466,576,299,4093,3426,610,1468,1433,919,5253,1221,121,1002,1221,153,1586,829,13
03032,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03033,175,35,31,27,12,4,0,3,4,0,3,0,0,1,0,0,1,0,0,0,0,3
03034,3541,2019,1923,1829,268,55,4,1055,94,19,5,38,35,50,1,0,0,45,0,8,5,0
03035,847,24,15,11,0,3,0,7,4,1,2,4,1,5,1,2,0,0,0,0,0,0
03036,98,4,4,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
03037,468,113,80,73,8,5,1,38,7,0,3,4,1,27,0,0,0,22,0,2,1,0
03038,433,24,19,15,0,3,0,12,4,0,0,0,0,5,1,0,0,0,0,0,0,0
03039,137,18,17,17,1,3,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0
03040,389,109,101,99,5,11,0,70,2,2,0,4,2,4,3,0,1,0,0,0,0,0
03041,12424,5481,4665,3994,1648,153,42,1394,671,35,243,297,218,448,85,64,130,64,17,69,35,2
03042,4276,2763,2568,2363,465,41,14,1557,205,9,32,51,45,130,19,5,17,47,0,13,8,1
03043,3647,159,88,37,3,11,1,8,51,39,1,34,24,30,5,2,2,16,0,6,2,1
03044,6303,973,550,355,13,49,5,219,195,57,37,178,142,242,7,19,63,125,0,3,0,0
03045,390,157,133,124,14,13,0,73,9,0,1,12,1,11,0,0,5,0,1,1,0,0
03046,2643,1097,1028,953,121,51,9,589,75,0,17,24,10,36,12,0,3,0,1,9,0,0
03047,26382,16006,13497,11500,3690,599,161,3753,1997,145,847,882,528,1245,322,74,502,75,20,377,272,5
03048,7939,2151,724,465,29,74,5,232,259,51,153,140,50,1277,81,357,30,770,1,7,2,3
03049,17366,2586,976,606,18,472,5,52,370,97,48,944,869,651,14,28,73,468,4,15,13,0
03050,24674,5430,3407,2952,272,533,113,1133,455,17,185,399,232,1481,582,20,262,136,27,126,54,17
