codine,Total Población,Nacidos en el Extranjero,Total Europa,Total Unión Europea (27),Alemania,Francia,Italia,Reino Unido,Bulgaria,Rumanía,Resto de Europa,Rusia,Ucrania,Total África,Marruecos,Total América,Argentina,Bolivia,Colombia,Ecuador,Perú,Total Asia,China,Oceanía
03001,668,266,250,250,67,6,0,156,2,4,0,0,0,3,1,11,5,0,3,1,0,2,0,0
03002,4766,506,234,183,20,30,2,32,0,64,51,36,5,144,137,118,12,1,11,77,0,10,3,0
03003,623,50,47,47,2,0,0,15,26,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0
03004,951,301,234,223,28,25,1,107,1,0,11,3,0,13,4,48,16,0,3,20,0,4,1,2
03005,11102,2043,940,881,102,83,4,394,74,128,59,10,9,458,439,635,17,48,10,520,4,10,5,0
03006,1395,827,757,752,53,22,2,580,3,2,5,1,0,10,5,45,12,12,2,8,4,15,7,0
03007,216,37,31,31,0,0,0,22,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0
03008,219,10,7,7,1,2,0,0,3,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0
03009,60700,3300,1332,1234,34,224,26,36,145,651,98,45,23,534,357,1328,112,54,138,744,40,103,60,3
03010,430,28,17,17,0,5,1,4,0,7,0,0,0,3,1,8,0,8,0,0,0,0,0,0
03011,19913,11256,9804,7332,825,242,102,2788,106,617,2472,122,84,245,120,969,261,40,120,134,22,229,91,9
03012,3645,2443,2409,2316,173,22,2,1980,3,4,93,2,11,8,7,24,5,0,3,6,1,2,1,0
03013,1515,119,58,56,4,6,1,27,1,9,2,1,1,44,31,17,0,1,2,4,0,0,0,0
03014,322673,49229,14751,11809,1223,3084,726,825,964,2421,2942,974,782,10044,4679,22866,6620,1156,4609,3998,653,1527,727,41
03015,17945,3233,1499,1174,56,121,11,694,18,65,325,91,160,1185,1168,507,48,9,194,108,2,42,27,0
03016,127,16,16,16,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03017,455,40,12,12,0,3,0,9,0,0,0,0,0,26,25,2,0,0,1,1,0,0,0,0
03018,22648,8304,6200,5344,816,276,78,1255,241,858,856,229,45,426,250,1513,499,46,153,379,25,156,58,9
03019,19246,1560,856,735,35,119,15,350,14,73,121,22,82,136,101,529,109,14,66,283,2,39,34,0
