codine,Total Población,Nacidos en España,Nacidos en el Extranjero,Total Europa,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total África,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,Rep. Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Oceanía
03001,686,396,290,276,276,68,8,6,0,0,0,173,8,0,0,0,2,0,0,0,0,10,5,0,0,3,0,0,1,0,0,0,0,0,2,0,0,0
03002,4813,4264,549,261,214,21,2,30,2,8,2,31,90,47,27,8,159,6,152,0,0,119,12,2,3,8,0,1,72,9,0,0,5,3,10,2,0,0
03003,627,565,62,58,58,2,32,0,0,0,0,19,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
03004,1047,700,347,271,256,30,1,29,1,0,1,125,4,15,4,1,15,8,5,0,1,54,15,0,0,4,2,1,23,1,0,0,1,0,5,2,0,2
03005,11656,9226,2430,1094,1031,99,94,79,4,2,5,439,208,63,13,8,624,4,608,0,0,695,28,69,19,19,2,2,528,2,4,0,10,2,17,11,0,0
03006,1500,581,919,843,834,59,1,25,2,1,0,642,2,9,2,0,17,8,9,0,0,46,12,16,0,1,1,0,7,0,5,0,0,2,13,6,0,0
03007,234,189,45,39,39,0,0,0,1,0,4,29,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0
03008,211,201,10,7,7,1,3,2,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03009,61698,57713,3985,1758,1632,33,175,231,35,43,27,44,967,126,46,26,650,136,478,3,4,1451,121,77,44,186,45,28,736,2,43,31,32,34,119,65,32,7
03010,422,393,29,22,22,0,0,5,1,0,0,4,10,0,0,0,3,0,1,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03011,20939,8868,12071,10524,7877,848,111,263,112,84,41,2998,781,2647,152,96,258,75,123,0,8,1001,273,39,73,123,53,33,131,8,22,24,45,73,280,116,14,8
03012,4125,1241,2884,2841,2748,177,8,24,2,6,1,2352,7,93,3,8,9,0,7,1,0,32,4,0,1,10,1,3,6,0,1,3,0,1,2,1,0,0
03013,1561,1416,145,81,76,5,1,6,1,16,0,32,6,5,3,0,47,13,34,0,0,14,0,1,0,0,2,0,4,0,0,0,0,3,3,0,3,0
03014,331750,273727,58023,17332,13769,1287,1195,3239,851,595,434,904,3318,3563,1230,957,11553,3590,5223,588,710,27216,7096,1595,869,5842,834,493,4770,1113,744,552,1222,1156,1886,918,165,36
03015,18536,14912,3624,1780,1404,62,30,128,18,12,32,836,96,376,108,183,1228,10,1209,0,0,570,60,22,30,202,12,18,135,3,2,7,44,22,46,30,2,0
03016,129,108,21,21,21,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03017,470,423,47,13,13,0,0,2,0,0,0,11,0,0,0,0,32,0,31,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
03018,23532,14389,9143,6879,5894,874,303,284,86,72,50,1354,1009,985,296,60,445,109,266,2,14,1622,515,63,62,175,66,53,378,13,22,41,97,43,188,63,17,9
03019,19893,17998,1895,1023,891,35,13,125,19,20,12,391,148,132,28,83,167,43,119,0,1,656,120,17,10,88,3,21,333,13,2,4,5,13,49,39,1,0
03020,157,131,26,25,25,1,0,1,0,0,0,23,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03021,7194,6892,302,64,56,2,13,8,1,2,3,11,12,8,0,2,56,2,50,0,1,125,14,1,2,22,7,0,69,0,4,3,0,2,57,9,47,0
03022,198,186,12,7,7,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0
03023,1837,1680,157,103,103,1,79,4,1,0,1,15,1,0,0,0,6,1,5,0,0,48,3,4,0,2,2,0,32,0,0,0,1,0,0,0,0,0
03024,5472,4802,670,423,374,4,61,85,3,28,6,78,71,49,3,32,182,9,155,0,0,59,6,8,4,23,5,0,10,0,0,0,0,0,6,4,1,0
03025,1746,1307,439,388,375,125,1,41,4,14,0,128,0,13,2,4,12,0,12,0,0,38,11,5,0,11,0,0,7,0,0,0,1,2,1,0,0,0
03026,1889,1369,520,350,329,86,9,31,4,0,4,141,8,21,2,2,26,6,19,0,0,140,19,0,11,93,0,3,2,0,2,0,2,4,4,1,0,0
03027,258,170,88,78,78,0,0,2,0,0,0,17,53,0,0,0,4,3,1,0,0,6,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
03028,1323,1223,100,62,62,1,16,9,0,0,0,14,6,0,0,0,22,0,2,0,2,16,2,0,1,0,1,0,7,0,3,0,0,0,0,0,0,0
03029,571,271,300,257,257,19,0,6,0,0,0,212,12,0,0,0,11,11,0,0,0,32,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
03030,1221,581,640,591,577,114,3,17,8,3,0,384,2,14,0,0,21,2,16,0,0,25,7,1,0,1,0,12,0,0,0,0,0,0,2,0,0,1
