codine,Total Población,Nacidos en España,Nacidos en el Extranjero,Total Europa,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total Africa,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,Rep. Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Oceanía
03001,695,372,323,316,315,77,12,8,0,0,0,195,8,1,0,1,2,0,0,0,0,5,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
03002,4818,4279,539,250,210,24,0,29,1,9,2,31,85,40,24,7,169,2,163,0,0,105,9,0,3,8,2,1,62,10,0,0,5,1,15,4,0,0
03003,599,540,59,56,56,2,31,0,0,0,0,18,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
03004,1084,726,358,275,263,29,1,35,1,2,0,123,2,12,3,0,18,10,5,0,1,59,8,3,0,5,1,2,27,2,2,0,2,0,5,2,0,1
03005,11821,9410,2411,1139,1077,97,96,82,3,2,5,452,221,62,11,6,584,5,569,0,0,673,33,45,16,21,4,4,519,3,5,0,6,2,15,10,0,0
03006,1524,590,934,861,852,54,3,19,3,0,0,668,2,9,1,0,18,11,7,0,0,41,12,7,0,1,0,1,10,1,5,0,0,2,14,4,0,0
03007,230,181,49,44,44,0,0,0,1,0,3,34,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0
03008,201,188,13,11,11,1,3,2,0,0,0,2,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
03009,61417,57281,4136,1935,1784,38,199,242,33,44,27,56,1062,151,42,26,582,99,427,3,10,1479,125,67,45,234,55,13,704,3,49,33,36,35,135,83,30,5
03010,419,395,24,23,23,0,0,5,1,0,0,8,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03011,21332,9086,12246,10636,7967,820,108,273,117,87,44,3133,732,2669,185,102,266,87,123,0,9,1065,283,30,65,158,62,33,129,20,26,30,49,78,271,98,18,8
03012,4537,1286,3251,3214,3123,182,8,23,5,5,5,2675,8,91,2,6,3,1,1,0,0,30,7,1,0,6,2,2,2,0,2,3,2,1,4,2,0,0
