codine,Total Población,Nacidos en España,Nacidos en el Extranjero,Total Europa,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total África,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,Rep. Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Total Oceanía
03001,730,387,343,330,328,77,14,9,0,0,2,200,11,2,0,1,3,0,0,0,0,5,0,0,0,3,0,0,1,0,0,0,0,0,5,5,0,0
03002,4831,4300,531,254,214,22,0,29,2,10,2,34,85,40,24,7,162,3,155,0,0,100,9,0,3,10,2,1,54,10,0,1,5,1,15,4,0,0
03003,610,545,65,60,60,3,32,0,0,0,1,18,2,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
03004,1118,757,361,276,263,30,1,33,1,2,0,121,3,13,3,0,18,10,5,0,1,60,10,2,0,4,1,2,27,2,2,0,2,0,6,3,0,1
03005,11901,9494,2407,1112,1050,99,100,81,3,3,5,415,218,62,11,5,608,7,590,0,0,669,32,38,17,26,2,4,520,4,5,0,5,2,18,14,0,0
03006,1433,567,866,798,792,60,1,21,2,0,0,603,1,6,0,0,17,13,4,0,0,36,13,4,0,2,3,1,8,1,0,0,0,2,15,4,0,0
03007,231,183,48,41,41,0,0,0,1,0,3,31,0,0,0,0,3,0,3,0,0,4,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0
03008,193,177,16,14,14,1,3,5,0,0,0,2,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
03009,61093,57019,4074,1947,1820,42,201,243,35,44,31,60,1075,127,41,24,633,104,466,3,11,1329,121,58,51,179,56,13,634,6,47,31,20,32,160,96,37,5
03010,424,397,27,26,26,0,0,5,1,0,0,8,10,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03011,21670,9179,12491,10818,8091,802,113,286,118,78,51,3193,737,2727,199,108,300,107,135,0,10,1078,273,25,52,167,70,39,137,21,29,28,49,79,287,113,19,8
03012,4625,1298,3327,3283,3182,182,8,24,4,5,7,2728,7,101,13,6,2,0,2,0,0,35,7,2,0,9,2,1,3,1,2,3,2,1,7,4,0,0
03013,1503,1355,148,85,82,4,0,6,1,17,0,35,12,3,1,0,47,13,34,0,0,12,0,2,0,1,1,0,4,0,0,0,0,2,4,0,3,0
03014,334329,273091,61238,19040,15184,1381,1319,3307,1018,680,514,997,3739,3856,1328,1008,12255,3978,5327,627,870,27498,6616,1285,824,6287,978,514,4843,1171,811,670,1172,1314,2397,1151,264,48
03015,19371,15520,3851,1592,1247,59,36,134,11,15,26,694,120,345,103,159,1655,18,1622,3,0,549,60,12,31,211,12,23,104,3,5,12,34,27,55,34,6,0
03016,131,105,26,25,25,0,0,0,0,0,0,23,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03017,508,460,48,17,17,1,0,2,0,0,0,13,1,0,0,0,30,0,29,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
03018,24056,14377,9679,7313,6069,827,281,315,90,73,40,1381,1038,1244,461,84,525,123,312,1,24,1601,488,69,64,149,81,53,365,13,28,39,96,46,230,68,56,10
03019,20292,18464,1828,970,854,39,13,117,20,9,12,334,184,116,19,71,187,64,114,0,1,631,92,12,13,118,11,16,307,13,4,5,10,8,40,23,7,0
03020,162,127,35,34,33,2,4,2,0,0,0,24,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03021,7200,6852,348,81,74,3,20,8,1,2,3,13,20,7,0,1,62,0,55,0,3,129,13,1,3,30,10,0,59,1,3,2,3,3,76,8,64,0
03022,178,165,13,7,7,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0
03023,1817,1666,151,99,97,2,68,5,2,2,2,13,3,2,0,0,4,1,3,0,0,48,2,9,0,4,2,0,30,0,0,0,1,0,0,0,0,0
03024,5459,4755,704,455,417,4,86,74,6,26,8,106,73,38,2,27,186,5,158,0,1,61,7,2,6,19,3,0,15,2,1,0,0,2,2,1,0,0
03025,1925,1504,421,349,328,96,0,40,4,14,0,119,3,21,3,9,15,0,15,0,0,54,10,0,0,14,8,0,13,1,2,0,2,2,3,0,0,0
03026,1883,1426,457,302,276,64,11,27,2,0,3,119,10,26,3,4,36,8,22,0,1,115,20,4,6,56,2,6,11,0,2,0,1,2,4,1,0,0
03027,222,151,71,66,66,0,0,2,0,0,0,17,42,0,0,0,3,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03028,1295,1182,113,77,76,1,24,9,0,0,0,14,12,1,1,0,14,0,7,0,1,22,2,0,2,0,2,0,5,1,3,0,0,0,0,0,0,0
03029,606,267,339,292,289,25,0,6,0,0,0,234,14,3,0,0,8,8,0,0,0,39,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
03030,1305,643,662,607,590,123,1,20,9,4,0,367,8,17,0,0,30,2,24,0,1,24,8,2,0,0,1,9,1,0,0,0,0,0,1,0,0,0
03031,72062,46101,25961,15680,14208,519,1142,646,429,240,212,5550,3110,1472,506,402,1964,687,1140,24,14,5828,1199,153,205,1161,432,229,1310,88,157,173,323,198,2475,840,1120,14
03032,115,113,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03033,201,150,51,44,40,9,0,4,0,0,0,15,2,4,0,0,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
03034,4153,1653,2500,2381,2283,268,26,73,9,2,1,1358,14,98,10,3,56,5,50,0,0,44,2,1,2,3,1,0,28,1,0,3,0,0,19,13,0,0
03035,811,756,55,45,43,3,0,4,0,0,0,28,6,2,0,1,2,1,1,0,0,8,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0
03036,97,94,3,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03037,512,382,130,101,95,8,0,11,2,0,0,37,10,6,2,1,4,4,0,0,0,24,1,4,0,0,1,1,14,0,0,2,1,0,1,1,0,0
03038,408,371,37,28,25,0,0,2,0,0,0,20,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,1
03039,129,105,24,21,21,1,0,2,0,0,0,14,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
03040,420,285,135,119,118,12,1,13,0,0,0,72,1,1,0,0,5,4,0,0,0,10,7,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
03041,13536,7016,6520,5682,5268,1806,35,166,55,49,4,1831,395,414,20,42,294,56,223,2,2,467,86,64,9,154,9,20,42,2,30,3,4,13,69,36,4,8
03042,5568,1646,3922,3608,3350,583,19,64,19,17,2,2179,65,258,110,18,72,9,55,0,0,196,20,6,7,39,1,14,45,0,4,4,17,12,42,20,1,4
03043,3738,3554,184,98,85,4,15,15,1,0,3,37,1,13,0,0,38,1,34,0,0,33,1,0,2,4,1,2,19,1,0,0,0,0,14,5,9,1
03044,6788,5535,1253,688,586,15,110,52,4,20,7,282,38,102,34,54,291,69,219,1,2,256,11,6,3,104,0,0,112,0,0,4,12,1,18,9,1,0
03045,454,251,203,181,171,12,6,7,1,2,0,106,4,10,4,1,11,9,2,0,0,10,0,1,0,3,0,0,0,0,1,0,0,1,1,0,0,0
03046,3314,1839,1475,1371,1301,152,0,79,7,30,3,784,14,70,6,3,28,10,11,0,1,58,25,0,3,7,5,1,0,2,3,0,5,1,17,3,0,1
03047,29718,11006,18712,15762,14511,3809,243,690,183,230,52,4213,1695,1251,344,119,1144,158,691,3,237,1392,356,69,40,548,75,12,60,6,36,25,76,37,411,230,20,3
03048,7894,5606,2288,1073,1021,53,82,70,7,12,7,248,414,52,12,7,148,72,71,1,1,1047,74,277,6,30,7,11,624,2,0,1,5,4,18,11,5,2
