codine,Total Población,Nacidos en España,Nacidos en el Extranjero,Total Europa,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total Africa,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,República Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Total Oceanía
03001,744,377,367,359,358,85,21,12,0,0,2,206,10,1,0,0,3,0,0,0,0,4,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0
03002,4787,4290,497,242,206,21,0,33,3,10,2,35,73,36,20,7,144,2,141,0,0,94,10,0,4,10,4,3,41,12,0,1,2,1,17,3,0,0
03003,565,528,37,35,35,1,20,0,1,0,1,8,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
03004,1073,729,344,272,256,30,1,31,1,0,0,112,0,16,5,0,15,7,4,0,1,50,8,0,0,3,0,1,24,2,2,0,1,0,6,3,0,1
03005,11983,9544,2439,1140,1072,87,106,80,4,6,4,438,228,68,15,9,638,8,619,1,0,640,28,37,11,32,3,5,486,9,5,0,4,2,21,15,1,0
03006,1401,584,817,743,736,53,1,22,2,0,0,555,1,7,0,0,17,14,3,0,0,38,12,6,0,2,1,1,7,1,1,0,0,5,19,7,0,0
03007,241,191,50,41,41,0,0,0,1,1,1,31,1,0,0,0,6,0,6,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
03008,199,184,15,12,12,1,0,5,0,0,0,3,2,0,0,0,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03009,60105,56450,3655,1472,1358,41,132,219,25,38,15,38,785,114,44,27,660,89,505,3,15,1339,113,40,46,169,57,22,668,2,58,30,20,22,179,96,48,5
03010,415,389,26,24,24,0,0,5,0,0,0,6,12,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03011,21969,9319,12650,10932,8055,773,134,284,128,79,44,3183,745,2877,247,119,328,111,157,1,12,1079,257,22,49,183,69,43,145,21,29,29,41,89,306,129,25,5
03012,5004,1345,3659,3604,3481,181,7,25,5,5,7,2950,9,123,34,9,21,0,18,2,0,30,6,1,0,6,2,0,2,0,1,3,2,2,4,1,0,0
03013,1528,1377,151,89,88,5,0,6,1,17,0,36,15,1,1,0,46,14,32,0,0,15,1,1,0,2,2,0,4,0,0,0,0,3,1,0,1,0
03014,335052,271587,63465,20284,16027,1425,1363,3361,1095,716,522,1047,4038,4257,1603,1114,13459,5467,5248,510,778,26777,6272,1149,780,6215,1134,485,4587,1072,797,735,1141,1301,2897,1346,416,48
03015,19788,15646,4142,1755,1402,62,46,133,19,18,19,781,150,353,100,167,1801,73,1713,3,0,517,57,17,25,190,18,25,87,3,4,13,33,29,69,48,5,0
03016,128,106,22,22,22,0,0,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03017,512,471,41,16,16,1,2,2,0,0,0,10,1,0,0,0,24,0,23,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
03018,24333,14378,9955,7626,6242,806,271,363,99,88,39,1419,1077,1384,582,101,530,135,307,1,20,1542,465,67,44,149,86,53,322,15,29,45,102,44,247,72,39,10
