codine,Total Población,Nacidos en España,Nacidos en el Extranjero,Total Europa,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total África,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,República Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Total Oceanía
03001,609,349,260,239,116,43,1,32,2,1,0,117,4,123,0,0,11,0,5,0,0,9,1,0,0,2,0,0,0,0,0,0,0,2,1,0,1,0
03002,4906,4426,480,196,122,20,0,39,7,2,3,40,29,74,15,6,127,6,116,0,1,123,8,2,2,21,3,6,38,8,2,1,6,3,34,8,5,0
03003,580,532,48,41,26,1,16,1,1,0,0,14,2,15,0,0,3,0,3,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
03004,1049,742,307,215,135,14,0,34,7,2,1,70,5,80,3,0,19,14,3,0,0,69,16,0,5,7,6,1,14,1,4,0,4,2,4,2,0,0
03005,12714,9922,2792,822,443,31,47,89,11,6,16,320,151,379,13,11,1256,9,1231,3,0,687,18,44,14,61,3,6,478,13,6,6,9,10,26,15,5,1
03006,1336,548,788,710,181,39,1,24,2,1,1,520,1,529,0,0,17,11,3,0,0,41,8,5,1,7,2,0,8,0,0,1,0,2,20,10,0,0
03007,243,204,39,29,12,0,0,1,2,0,0,17,5,17,0,0,8,1,5,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
03008,181,172,9,6,2,0,0,2,0,0,0,4,0,4,0,0,1,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
03009,59128,53825,5303,1324,1140,43,128,191,36,24,14,67,616,184,57,30,1736,128,1488,5,34,1975,143,56,120,300,100,26,660,8,101,53,39,158,264,106,103,4
03010,408,382,26,22,16,1,0,5,2,0,0,6,6,6,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
03011,20495,9569,10926,8627,3834,446,130,207,103,61,29,2344,688,4793,331,187,391,130,174,1,18,1342,244,24,62,285,117,42,123,20,24,42,57,170,557,161,52,9
03012,3396,1415,1981,1829,350,44,7,29,5,7,2,1378,16,1479,44,7,57,1,52,0,0,67,12,3,2,19,4,2,1,0,1,3,2,10,28,9,0,0
03013,1334,1227,107,44,18,4,0,6,1,1,0,21,1,26,2,2,43,14,29,0,0,20,4,0,1,7,0,0,1,1,1,0,0,1,0,0,0,0
03014,337304,265340,71964,17821,9405,895,664,2400,1200,427,261,1045,1706,8416,2995,2298,16696,8460,5695,370,671,33429,6000,1016,1266,9313,1679,458,3757,1038,935,889,1140,4087,3935,1798,459,83
03015,21404,16356,5048,1601,584,48,35,124,18,16,17,662,148,1017,84,172,2595,52,2491,5,0,765,63,5,33,311,32,33,71,10,6,17,35,103,86,52,17,1
03016,117,96,21,15,6,0,0,0,0,0,0,9,4,9,0,0,1,0,1,0,0,5,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0
03017,498,469,29,7,5,1,0,4,0,0,0,2,0,2,0,0,17,0,15,1,0,5,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0
03018,22657,14358,8299,5307,3264,363,167,274,129,77,30,828,737,2043,702,168,576,140,353,3,31,1962,466,87,84,265,205,42,287,31,37,47,78,150,440,85,37,14
03019,21088,19174,1914,918,551,47,13,130,24,13,8,248,150,367,24,56,228,62,143,0,11,702,102,10,11,146,18,16,220,12,11,11,26,48,66,36,6,0
03020,134,115,19,16,3,0,1,2,0,0,0,13,0,13,0,0,0,0,0,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
03021,7113,6641,472,65,45,3,10,9,2,0,2,11,15,20,0,0,84,2,75,0,5,175,8,1,8,50,10,0,74,2,7,1,0,7,148,10,137,0
03022,170,159,11,4,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,7,3,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
03023,1707,1599,108,65,57,2,43,5,2,0,1,4,3,8,0,1,11,1,1,2,4,30,3,6,0,1,2,0,18,0,0,0,0,0,2,0,2,0
03024,5453,4727,726,381,275,3,91,52,5,15,3,64,87,106,3,30,233,8,211,0,0,102,6,3,4,42,10,1,10,8,2,0,3,8,10,2,6,0
03025,1958,1626,332,258,164,45,3,39,4,19,0,73,13,94,5,10,17,0,16,0,0,54,10,0,2,12,4,0,12,3,2,1,4,4,3,0,0,0
03026,2227,1584,643,409,242,95,3,43,6,0,3,135,29,167,2,4,37,4,28,1,2,195,56,6,7,59,2,8,13,0,5,2,7,16,2,0,0,0
03027,192,168,24,22,13,5,0,0,0,1,0,9,4,9,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
03028,1083,1012,71,45,39,1,14,10,0,0,0,4,7,6,0,0,8,0,7,0,0,18,3,0,1,0,5,0,6,0,1,0,0,0,0,0,0,0
03029,483,242,241,192,30,5,0,1,0,0,1,158,2,162,2,1,8,6,0,0,0,41,2,0,0,5,0,1,1,1,0,0,3,0,0,0,0,0
03030,1166,629,537,431,172,82,0,25,5,3,0,233,7,259,10,2,27,2,22,0,0,73,24,3,1,14,3,5,2,0,9,0,1,0,5,0,0,1
03031,69118,45848,23270,10326,5159,254,593,437,404,131,95,3363,1908,5167,847,544,2445,910,1296,130,23,6783,995,113,223,1744,941,168,1081,90,208,257,253,456,3696,738,1955,20
03032,103,102,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
