codine,Total Población,Total Extranjeros,Total Europa,Total Unión Europea (27),Resto de Europa,Total Africa,Total América,Total Asia,Oceanía y Apátridas
03001,668,262,251,251,0,1,8,2,0
03002,4766,483,217,165,52,157,104,5,0
03003,623,52,49,49,0,0,3,0,0
03004,951,290,249,242,7,1,38,1,1
03005,11102,1957,854,813,41,472,625,6,0
03006,1395,815,764,761,3,4,37,10,0
03007,216,35,30,30,0,0,5,0,0
03008,219,8,6,6,0,0,2,0,0
03009,60700,2871,1100,1018,82,472,1207,92,0
03010,430,22,12,12,0,2,8,0,0
03011,19913,10994,10066,7579,2487,144,652,130,2
03012,3645,2389,2363,2288,75,8,18,0,0
03013,1515,109,58,56,2,36,15,0,0
03014,322673,39436,14108,11601,2507,7282,16803,1216,27
03015,17945,3167,1409,1099,310,1286,437,34,1
03016,127,16,16,16,0,0,0,0,0
03017,455,38,10,10,0,26,2,0,0
03018,22648,7842,6357,5543,814,296,1084,102,3
03019,19246,1406,785,676,109,91,486,44,0
03020,163,25,25,25,0,0,0,0,0
03021,7193,257,48,41,7,50,115,44,0
03022,210,9,7,6,1,0,2,0,0
03023,1828,134,80,80,0,6,48,0,0
03024,5419,515,292,249,43,168,52,3,0
03025,1601,349,317,310,7,7,24,1,0
03026,1729,390,277,261,16,14,98,1,0
03027,220,59,56,56,0,0,2,0,1
03028,1335,83,52,52,0,21,10,0,0
03029,570,249,244,243,1,0,5,0,0
03030,1139,557,531,522,9,11,14,1,0
03031,69058,20248,12676,11358,1318,1253,4519,1797,3
03032,125,0,0,0,0,0,0,0,0
03033,188,32,31,28,3,0,1,0,0
03034,3707,2140,2038,1976,62,42,42,18,0
03035,843,26,17,16,1,1,8,0,0
03036,101,4,3,3,0,0,1,0,0
03037,466,94,83,80,3,2,9,0,0
03038,441,33,31,30,1,0,2,0,0
03039,131,15,15,15,0,0,0,0,0
03040,429,131,127,126,1,2,2,0,0
03041,12690,5641,4971,4594,377,246,393,31,0
03042,4773,3225,3018,2820,198,64,131,11,1
03043,3693,171,107,97,10,32,28,4,0
03044,6588,1154,625,512,113,260,263,6,0
03045,399,154,143,136,7,1,10,0,0
03046,2847,1181,1164,1106,58,5,11,1,0
03047,27768,17033,14786,13778,1008,793,1090,360,4
03048,8008,2234,819,780,39,111,1299,5,0
03049,17423,2250,504,323,181,1084,651,11,0
03050,25055,4795,3693,3525,168,131,900,70,1
03051,414,14,3,3,0,1,10,0,0
03052,1203,37,28,13,15,0,9,0,0
03053,9673,1405,1014,970,44,147,224,20,0
03054,517,80,76,75,1,2,2,0,0
03055,8105,2029,1572,1533,39,377,76,4,0
03056,11209,624,320,303,17,172,125,7,0
03057,303,48,30,30,0,0,18,0,0
03058,6414,638,161,105,56,187,288,2,0
03059,28172,3217,833,785,48,1825,525,33,1
03060,138,9,9,7,2,0,0,0,0
03061,1761,516,433,412,21,66,16,1,0
03062,459,258,250,247,3,1,7,0,0
03063,42704,12693,8771,7492,1279,572,3123,224,3
03064,6954,953,587,562,25,280,86,0,0
03065,222422,23732,9184,8255,929,5600,8136,803,9
