codine,Total Población,Total Extranjeros,Total Europa,Total Unión Europea (27),Resto de Europa,Total Africa,Total América,Total Asia,Oceanía y Apátridas,% Total Extranjeros,% Total Europa,% Total Unión Europea (27),% Resto de Europa,% Total Africa,% Total América,% Total Asia,% Oceanía y Apátridas
03001,668,262,251,251,0,1,8,2,0,39.22,37.57,37.57,0,0.15,1.2,0.3,0
03002,4766,483,217,165,52,157,104,5,0,10.13,4.55,3.46,1.09,3.29,2.18,0.1,0
03003,623,52,49,49,0,0,3,0,0,8.35,7.87,7.87,0,0,0.48,0,0
03004,951,290,249,242,7,1,38,1,1,30.49,26.18,25.45,0.74,0.11,4,0.11,0.11
03005,11102,1957,854,813,41,472,625,6,0,17.63,7.69,7.32,0.37,4.25,5.63,0.05,0
03006,1395,815,764,761,3,4,37,10,0,58.42,54.77,54.55,0.22,0.29,2.65,0.72,0
03007,216,35,30,30,0,0,5,0,0,16.2,13.89,13.89,0,0,2.31,0,0
03008,219,8,6,6,0,0,2,0,0,3.65,2.74,2.74,0,0,0.91,0,0
03009,60700,2871,1100,1018,82,472,1207,92,0,4.73,1.81,1.68,0.14,0.78,1.99,0.15,0
03010,430,22,12,12,0,2,8,0,0,5.12,2.79,2.79,0,0.47,1.86,0,0
03011,19913,10994,10066,7579,2487,144,652,130,2,55.21,50.55,38.06,12.49,0.72,3.27,0.65,0.01
03012,3645,2389,2363,2288,75,8,18,0,0,65.54,64.83,62.77,2.06,0.22,0.49,0,0
03013,1515,109,58,56,2,36,15,0,0,7.19,3.83,3.7,0.13,2.38,0.99,0,0
03014,322673,39436,14108,11601,2507,7282,16803,1216,27,12.22,4.37,3.6,0.78,2.26,5.21,0.38,0.01
03015,17945,3167,1409,1099,310,1286,437,34,1,17.65,7.85,6.12,1.73,7.17,2.44,0.19,0.01
03016,127,16,16,16,0,0,0,0,0,12.6,12.6,12.6,0,0,0,0,0
03017,455,38,10,10,0,26,2,0,0,8.35,2.2,2.2,0,5.71,0.44,0,0
03018,22648,7842,6357,5543,814,296,1084,102,3,34.63,28.07,24.47,3.59,1.31,4.79,0.45,0.01
