Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Marker,Marker Color,Location,Latitude,Longitude,Overlay,Overlay Transparency,GeoJSON Overlay,GeoJSON Feature Properties
Sobre el Brexit,https://www.publicdomainpictures.net/pictures/190000/nahled/brexit-referendum-uk.jpg,Brexit referéndum Reino Unido Stock de Foto gratis - Public Domain Pictures,https://www.publicdomainpictures.net/es/view-image.php?image=180559&picture=brexit-referendum-reino-unido,"El Reino Unido es el primer emisor turístico de España. En 2016, de los 75,4 millones de turistas extranjeros que visitaron España, 17,8 millones (el 23,6%) fueron turistas británicos. <br><br>
Los destinos preferidos por el turismo británico en España son Canarias (cuota del 27,9%), Baleares (20,8%) y Andalucía (17%), seguidos de la Comunidad Valenciana (14,2%) y Cataluña (11,6%). La Comunidad Valenciana, es el segundo destino peninsular favorito de los turistas británicos y el cuarto, si se consideran también los destinos insulares.<br><br>
El 91% de los turistas británicos que visitan la Comunidad Valenciana tiene como destino la provincia de Alicante. El Reino Unido es el principal emisor internacional de la provincia de Alicante, con una cuota del 43%, que equivale a 2,3 millones de turistas durante el pasado año. <br><br>
El turismo británico presenta una menor estacionalidad que el conjunto del turismo extranjero. La temporada alta se extiende de abril a octubre. Los meses de julio y agosto concentran el 22% del flujo turístico, un porcentaje que en el caso del turismo extranjero se aproxima al 30%. El 91% de los turistas británicos que visitan la provincia de Alicante lo hacen por ocio, recreo y vacaciones. El 75% viaja sin paquete turístico. El 96% utiliza el avión para sus desplazamientos. 
<br><br>Fuente:  <a href='https://www.camaralicante.com/wp-content/uploads/2018/09/2017-06-incidencia-del-brexit-en-la-provincia-de-alicante.pdf'>Cámara de comercio de Alicante</a><br><br>GRAFICO: Evolución de británicos desde el 2002</p><p><iframe id='grafico1' src='https://josemamira.github.io/dipumaps/src/brexit_grafico_total.html?codine=03000' width='350' height='300' style='border:none;'  frameborder='0' scrolling='no'></iframe><br>",10,Numbered,blue,"Alicante, Spain",38.35,-0.5,,,geojson/munali_lines.geojson,color:#ff7800;weight:1
Torrevieja,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Die_Felsenk%C3%BCste_von_Torrevieja_-_52312788364.jpg/800px-Die_Felsenk%C3%BCste_von_Torrevieja_-_52312788364.jpg,"Source: Werner Wilmes/Wikimedia, CC BY-SA",	https://www.flickr.com/photos/wewi-creative/52312788364/,"Empezamos nuestra historia en Torrevieja, quizás uno de los iconos del turismo británico residencial a primeros de este siglo, que  bla bla bla <br> <br>GRAFICO: Evolución de británicos desde el 2002</p><p><iframe id='grafico1' src='https://josemamira.github.io/dipumaps/src/brexit_grafico_total.html?codine=03133' width='350' height='300' style='border:none;'  frameborder='0' scrolling='no'></iframe> <br>La lectura del gráfico de evolución no puede ser más clara. Torrevieja pierde en 2013 más de 2/3 de la población británica, hasta prácticamente desaparecer hasta llegar  los menos de 5.000 actuales. ",13,Numbered,red,"Torrevieja, Alicante, Spain",38.001,-0.676457644,,,geojson/torrevieja.geojson,color:red;weight:3
Orihuela,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Coastal_walking_path_at_Playa_de_Cabo_Roig_in_Orihuela_Costa%2C_Orihuela%2C_Alicante%2C_Spain%2C_2022_January.jpg/800px-Coastal_walking_path_at_Playa_de_Cabo_Roig_in_Orihuela_Costa%2C_Orihuela%2C_Alicante%2C_Spain%2C_2022_January.jpg,"Source: Ximonic (Simo Räsänen), CC BY-SA 4.0",,"El caso de Orihuela, y más en concreto de su costa se da el caso que  bla bla bla. En Cabo Roig hay una urbanización llamada Dehesa de Campoamor<br><br>GRAFICO: Evolución de británicos desde el 2002<br><iframe id='grafico1' src='https://josemamira.github.io/dipumaps/src/brexit_grafico_total.html?codine=03099' width='350' height='300' style='border:none;'  frameborder='0' scrolling='no'></iframe><br>GRAFICO: Ganancia o pérdida porcentual de británicos desde 2012<br><iframe id='grafico1' src='https://josemamira.github.io/dipumaps/src/brexit_grafico_p.html?codine=03099' width='350' height='300' style='border:none;'  frameborder='0' scrolling='no'></iframe><br>GRÁFICO: Ganancia o pérdida porcentual interanual de británicos<br><iframe id='grafico1' src='https://josemamira.github.io/dipumaps/src/brexit_grafico_via.html?codine=03099' width='350' height='300' style='border:none;'  frameborder='0' scrolling='no'></iframe><br>Párrafo para más texto",15,Numbered,blue,Orihuela,37.9003,-0.7526,,,,
,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Puerto_de_Campoamor.jpg/800px-Puerto_de_Campoamor.jpg,"Puerto de Campoamor. Autor: Borjazavala36, Wikipedia",https://commons.wikimedia.org/wiki/File:Puerto_de_Campoamor.jpg,"Supcapítulo del principal de Orihuela. Ejemplo de una urbanización. <br><br>La Dehesa de Campoamor es una localidad perteneciente al término municipal y partido judicial de Orihuela, en la zona de Orihuela Costa y limita con el municipio de Pilar de la Horadada. Se sitúa en el extremo sur de la provincia de Alicante, Comunidad Valenciana, limitando con la comunidad autónoma de Región de Murcia.<br><br>
Su población era de 857 habitantes en el año 2018.1​<br><br>
Las zonas turísticas y de valor natural destacables cerca de Dehesa de Campoamor son el parque natural de Salinas y Arenales de San Pedro del Pinatar y el Mar Menor a 8 km en dirección sur. En dirección oeste, a 15 km hacia el interior, se encuentra Sierra Escalona y dirección norte, a 10 km se encuentran las Salinas de Torrevieja. Más al norte, a unos 30 km, se encuentra la desembocadura del Segura.2​",14,Hidden,,"Dehesa de Campoamor, Orihuela",37.90049053,-0.7573530653,,,geojson/campoamor.geojson,color:red;weight:3
Rojales,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Ciduad_Quesada_02.jpg/800px-Ciduad_Quesada_02.jpg,"Source: H.Helmlechner, Wikipedia",,El caso de Rojales es curioso que  bla bla bla<br>Hay una urbanización llamada Ciudad Quesada que duplica en superficie el casco urbano del municipio.<br>GRAFICO: Evolución de británicos desde el 2002</p><p><iframe id='grafico1' src='https://josemamira.github.io/dipumaps/src/brexit_grafico_total.html?codine=03113' width='350' height='300' style='border:none;'  frameborder='0' scrolling='no'></iframe></p>          <p>Párrafo para más texto ,14,Numbered,blue,"Rojales, Alicante, Spain",38.0781,-0.7179,,,geojson/ciudad-quesada.geojson,color:red;weight:3
Jávea/Xàbia,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Cala_de_la_Granadella%2C_J%C3%A1vea%2C_Espa%C3%B1a%2C_2014-07-01%2C_DD_39.JPG/800px-Cala_de_la_Granadella%2C_J%C3%A1vea%2C_Espa%C3%B1a%2C_2014-07-01%2C_DD_39.JPG,Autor: Diego Delso,"https://commons.wikimedia.org/wiki/File:Cala_de_la_Granadella,_J%C3%A1vea,_Espa%C3%B1a,_2014-07-01,_DD_37.JPG","El caso de Xàbia cambiamos de comarca, ahora la Marina Alta, y   bla bla bla</P><p>GRAFICO: Evolución de británicos desde el 2002<br><br><iframe id='grafico1' src='https://josemamira.github.io/dipumaps/src/brexit_grafico_total.html?codine=03082' width='350' height='300' style='border:none;'  frameborder='0' scrolling='no'></iframe><br><br>Párrafo para más texto",15,Numbered,blue,"Jávea, Alicante, Spain",38.7886,0.17921,,,,
,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/J%C3%A1vea_desde_el_Montg%C3%B3.jpg/800px-J%C3%A1vea_desde_el_Montg%C3%B3.jpg,"Vista de Jávea. Autor: Rodriguillo, 26/03/2006",https://commons.wikimedia.org/wiki/File:J%C3%A1vea_desde_el_Montg%C3%B3.jpg,"Fotografía tomada desde el Montgó donde se puede apreciar el fuerte proceso de urbanismo residencial, en una zona caracterizada por un turismo de cierta calidad.",,,,,,,,,,
San Fulgencio,https://www.sanfulgencio.es/wp-content/uploads/2020/03/panoramica-san-fulgencio-2-1.jpg,Plaza del ayuntamiento. Fuente: sanfulgencio.es,,Este pequeño municipio de la Vega Baja se caracteriza por haber pasado de una economía agrícola a bla bla bla<br><br>GRAFICO: Evolución de británicos desde el 2002<br><br><iframe id='grafico1' src='https://josemamira.github.io/dipumaps/src/brexit_grafico_total.html?codine=03118' width='350' height='300' style='border:none;'  frameborder='0' scrolling='no'></iframe><br><br>Más de la mitad de la población censada es de origen británico.,17,Numbered,blue,"San Fulgencio, Spain",,,,,,
Benidorm,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Vista_de_Benidorm%2C_Espa%C3%B1a%2C_2014-07-02%2C_DD_67.JPG/800px-Vista_de_Benidorm%2C_Espa%C3%B1a%2C_2014-07-02%2C_DD_67.JPG,"Vista de Benidorm, España, 2014-07-02","https://commons.wikimedia.org/wiki/File:Vista_de_Benidorm,_Espa%C3%B1a,_2014-07-02,_DD_67.JPG",La capital del turismo de masas de la Costa Blanca bla bla bla<br><br>GRAFICO: Evolución de británicos desde el 2002<br><br><iframe id='grafico1' src='https://josemamira.github.io/dipumaps/src/brexit_grafico_total.html?codine=03031' width='350' height='300' style='border:none;'  frameborder='0' scrolling='no'></iframe><br><br>Párrafo para más texto,17,Numbered,blue,"Benidorm, Spain",,,,,,
Aspectos legales del Brexit,https://www.youtube.com/embed/XnQO-rbpuf0,Source: Diputación de Alicante,Aspectos legales del Brexit,"Excelente vídeo de la Diputación de Alicante donde se trata el tema legal sobre el Brexit para los ciudadanos, las instituciones y los propios afectados.",10,Hidden,blue,"Alicante, Spain",38.35,-0.5,,,,
